simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,76
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,16
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,51
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,57
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,35
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,62
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,56
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,91
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,OTHER,KITTN,20
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,21
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,29
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,3
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,39
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,25
ONE COLOR,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,27
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,90
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,90
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,23
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34
TABBY,MALE,1,ILL,STRAY,DOMESTIC BREED,OTHER,28
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,37
MIX,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,66
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,35
TABBY,MALE,0,HEALTHY,OTHER,DOMESTIC BREED,SMALL,64
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,67
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,38
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,38
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,30
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,26
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,46
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,46
MIX,MALE,0,HEALTHY,STRAY,OTHER,SMALL,27
MIX,FEMALE,2,OTHER,STRAY,DOMESTIC BREED,SMALL,47
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,40
ONE COLOR,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,80
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,57
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,30
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,86
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,32
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,43
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,OTHER,SMALL,52
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,50
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,45
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,59
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,59
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,31
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,48
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,53
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,77
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,24
MIX,FEMALE,2,HEALTHY,OTHER,DOMESTIC BREED,SMALL,10
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,43
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,52
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,74
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,56
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,47
MIX,MALE,4,ILL,STRAY,DOMESTIC BREED,SMALL,17
ONE COLOR,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,35
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,16
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,29
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,8
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,56
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,4
TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,12
ONE COLOR,FEMALE,0,HEALTHY,OTHER,DOMESTIC BREED,KITTN,28
MIX,MALE,4,OTHER,OTHER,DOMESTIC BREED,SMALL,71
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,24
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,22
MIX,MALE,4,HEALTHY,STRAY,DOMESTIC BREED,OTHER,46
TABBY,FEMALE,2,ILL,STRAY,DOMESTIC BREED,SMALL,58
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,19
MIX,FEMALE,1,ILL,STRAY,DOMESTIC BREED,SMALL,63
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,31
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,62
ONE COLOR,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,17
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,46
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,25
MIX,MALE,1,HEALTHY,STRAY,OTHER,SMALL,20
TABBY,MALE,0,ILL,OTHER,DOMESTIC BREED,KITTN,78
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,18
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,17
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,14
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,9
MIX,MALE,9,ILL,STRAY,DOMESTIC BREED,SMALL,18
TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,33
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,14
MIX,MALE,0,OTHER,OWNER SURRENDER,DOMESTIC BREED,SMALL,10
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,11
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,3
ONE COLOR,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,64
MIX,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,32
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,41
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,11
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,60
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,25
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,66
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,32
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,18
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,96
TABBY,FEMALE,1,ILL,STRAY,DOMESTIC BREED,SMALL,64
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,41
TABBY,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,57
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,30
TABBY,MALE,4,HEALTHY,STRAY,DOMESTIC BREED,SMALL,16
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,14
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,40
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,OTHER,8
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,68
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,OTHER,37
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,64
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,24
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,82
TABBY,MALE,10,ILL,OWNER SURRENDER,DOMESTIC BREED,SMALL,12
MIX,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,12
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,36
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,57
MIX,MALE,0,HEALTHY,STRAY,OTHER,KITTN,17
MIX,FEMALE,0,HEALTHY,STRAY,OTHER,SMALL,11
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,9
MIX,MALE,9,ILL,OWNER SURRENDER,DOMESTIC BREED,SMALL,16
ONE COLOR,FEMALE,3,OTHER,STRAY,DOMESTIC BREED,SMALL,43
TABBY,FEMALE,1,HEALTHY,OTHER,DOMESTIC BREED,SMALL,47
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,36
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,14
ONE COLOR,MALE,0,OTHER,OWNER SURRENDER,DOMESTIC BREED,KITTN,6
MIX,MALE,0,HEALTHY,OTHER,DOMESTIC BREED,KITTN,2
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,49
MIX,MALE,0,ILL,STRAY,OTHER,KITTN,49
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,22
TABBY,MALE,0,ILL,OTHER,DOMESTIC BREED,KITTN,52
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,21
TABBY,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,64
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,30
TABBY,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,53
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,9
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,4
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,16
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,3
MIX,FEMALE,7,HEALTHY,OTHER,DOMESTIC BREED,SMALL,21
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,5
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,11
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,43
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28
MIX,FEMALE,5,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,91
ONE COLOR,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,24
MIX,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9
MIX,MALE,2,HEALTHY,OTHER,DOMESTIC BREED,SMALL,5
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,19
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,22
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,21
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,3
TABBY,MALE,0,ILL,OTHER,DOMESTIC BREED,KITTN,55
ONE COLOR,FEMALE,10,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,36
TABBY,MALE,1,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,32
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,2
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,46
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,14
ONE COLOR,MALE,0,ILL,OTHER,DOMESTIC BREED,SMALL,79
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,13
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,12
MIX,MALE,4,HEALTHY,OTHER,DOMESTIC BREED,SMALL,13
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,12
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,1
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,23
ONE COLOR,MALE,3,HEALTHY,STRAY,DOMESTIC BREED,SMALL,15
MIX,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,2
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9
MIX,MALE,0,ILL,OWNER SURRENDER,DOMESTIC BREED,KITTN,22
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,23
ONE COLOR,FEMALE,0,ILL,OTHER,DOMESTIC BREED,SMALL,34
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,5
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,61
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,108
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,4
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28
MIX,MALE,4,ILL,OWNER SURRENDER,DOMESTIC BREED,OTHER,28
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,78
ONE COLOR,FEMALE,8,ILL,OWNER SURRENDER,DOMESTIC BREED,SMALL,14
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,56
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,55
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,10
ONE COLOR,FEMALE,0,ILL,OWNER SURRENDER,DOMESTIC BREED,KITTN,35
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,29
MIX,FEMALE,0,OTHER,OWNER SURRENDER,OTHER,KITTN,14
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,8
TABBY,FEMALE,0,HEALTHY,OTHER,DOMESTIC BREED,SMALL,10
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,49
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,29
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,14
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,7
