simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,81
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,32
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,94
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,80
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,70
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,56
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,0
ONE COLOR,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,43
MIX,MALE,0,HEALTHY,OWNER SURRENDER,OTHER,KITTN,18
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,60
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,18
TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,44
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,23
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,45
ONE COLOR,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,55
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,20
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28
TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,55
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,46
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,12
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,28
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,98
MIX,MALE,0,ILL,STRAY,DOMESTIC BREED,SMALL,43
ONE COLOR,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,41
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,9
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,33
MIX,MALE,0,HEALTHY,OTHER,DOMESTIC BREED,KITTN,1
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,27
MIX,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,101
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,31
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,23
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,20
MIX,FEMALE,4,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,10
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,45
TABBY,FEMALE,7,HEALTHY,STRAY,DOMESTIC BREED,SMALL,71
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,45
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,22
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,36
MIX,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,32
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,29
MIX,FEMALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,12
MIX,FEMALE,1,HEALTHY,OTHER,DOMESTIC BREED,SMALL,27
ONE COLOR,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,12
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,67
TABBY,FEMALE,2,OTHER,OTHER,DOMESTIC BREED,SMALL,6
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,67
ONE COLOR,MALE,3,HEALTHY,OTHER,DOMESTIC BREED,SMALL,11
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,25
MIX,MALE,1,ILL,STRAY,OTHER,SMALL,11
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,25
MIX,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,41
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,63
MIX,MALE,4,HEALTHY,STRAY,DOMESTIC BREED,SMALL,41
TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,34
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,43
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,47
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,66
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,7
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,32
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,42
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,18
TABBY,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,49
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,64
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,36
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,2
MIX,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,59
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,57
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,39
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,69
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,35
MIX,FEMALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,110
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,23
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,50
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,89
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,29
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,9
TABBY,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,94
TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,51
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,58
MIX,MALE,0,ILL,OTHER,DOMESTIC BREED,SMALL,13
MIX,FEMALE,7,ILL,OTHER,DOMESTIC BREED,SMALL,84
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,47
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,24
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,40
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,29
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,29
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,20
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,35
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,35
ONE COLOR,FEMALE,1,OTHER,STRAY,DOMESTIC BREED,SMALL,94
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,45
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,59
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,25
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,79
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,36
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,81
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,16
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,63
MIX,FEMALE,4,HEALTHY,STRAY,OTHER,SMALL,42
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,82
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,15
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,52
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,73
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,45
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,47
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,52
MIX,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,20
ONE COLOR,FEMALE,1,HEALTHY,OTHER,DOMESTIC BREED,SMALL,48
ONE COLOR,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,57
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31
MIX,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,20
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,51
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,51
MIX,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,21
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,85
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,85
ONE COLOR,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,111
