Animal_ID,Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,Outcome_Type,was_outcome_alive,days_stayed
A633435,BLACK,Unknown,4,9/11/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,1092
A617932,BRN TABBY,Spayed,6,12/19/18,NORMAL,STRAY,ADOPTION,1,799
A634597,BRN TABBY,Spayed,9,10/4/19,NORMAL,OWNER SURRENDER,ADOPTION,1,760
A592391,ORG TABBY,Neutered,12,6/24/17,ILL MILD,STRAY,ADOPTION,1,685
A593445,BRN TABBY,Neutered,8,7/13/17,NORMAL,STRAY,ADOPTION,1,666
A590137,GRAY TABBY,Spayed,8,5/10/17,NORMAL,STRAY,ADOPTION,1,661
A593811,BROWN,Spayed,19,7/19/17,NORMAL,OWNER SURRENDER,ADOPTION,1,660
A612369,WHITE,Spayed,5,8/4/18,NORMAL,STRAY,ADOPTION,1,658
A658604,BLACK,Neutered,2,6/11/21,NORMAL,STRAY,ADOPTION,1,615
A658603,BLACK,Neutered,2,6/11/21,NORMAL,STRAY,ADOPTION,1,615
A658270,TAN,Neutered,8,6/3/21,NORMAL,WELFARE SEIZED,ADOPTION,1,610
A636821,WHITE,Female,6,11/29/19,INJURED  MILD,STRAY,ADOPTION,1,530
A601124,GRAY TABBY,Spayed,7,12/15/17,NORMAL,STRAY,ADOPTION,1,511
A657349,ORG TABBY,Neutered,2,5/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,484
A658571,ORG TABBY,Neutered,2,6/9/21,ILL MILD,STRAY,ADOPTION,1,456
A651804,BLACK,Spayed,2,11/22/20,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,452
A673825,UNKNOWN,Spayed,4,5/1/22,NORMAL,"TRAP, NEUTER, RETURN",ADOPTION,1,442
A637747,BLACK,Spayed,13,12/19/19,NORMAL,WELFARE SEIZED,ADOPTION,1,434
A660175,BLACK,Female,2,7/9/21,NORMAL,STRAY,ADOPTION,1,426
A682290,UNKNOWN,Spayed,6,8/20/22,NORMAL,STRAY,ADOPTION,1,413
A650412,WHITE,Spayed,7,10/24/20,ILL MODERATETE,OWNER SURRENDER,ADOPTION,1,409
A601592,BROWN,Neutered,6,12/31/17,NORMAL,STRAY,ADOPTION,1,408
A657366,BRN TABBY,Spayed,2,5/13/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,398
A662407,GRAY,Female,2,8/25/21,NORMAL,STRAY,ADOPTION,1,394
A653395,ORANGE,Neutered,5,1/23/21,ILL MILD,STRAY,ADOPTION,1,390
A628910,WHITE,Spayed,7,6/26/19,NORMAL,STRAY,ADOPTION,1,387
A656203,GRAY,Neutered,2,4/12/21,NORMAL,STRAY,ADOPTION,1,366
A656208,BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A656207,BLACK,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A656206,BRN TABBY,Neutered,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A656205,BRN TABBY,Spayed,2,4/12/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,366
A586969,WHITE,Neutered,7,4/13/22,NORMAL,RETURN,ADOPTION,1,345
A593764,GRAY TABBY,Spayed,9,7/18/17,NORMAL,STRAY,ADOPTION,1,337
A673529,BLACK,Spayed,1,4/24/22,NORMAL,STRAY,ADOPTION,1,334
A594880,GRAY,Female,9,8/6/17,NORMAL,STRAY,ADOPTION,1,331
A570306,BLACK,Spayed,8,3/25/21,NORMAL,OWNER SURRENDER,ADOPTION,1,329
A674032,GRAY,Spayed,4,5/5/22,NORMAL,OWNER SURRENDER,ADOPTION,1,329
A606017,BRN TABBY,Neutered,7,4/9/18,FRACTIOUS,STRAY,ADOPTION,1,327
A626422,BRN TABBY,Female,4,5/15/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,318
A674048,GRAY,Neutered,8,5/5/22,NORMAL,OWNER SURRENDER,ADOPTION,1,316
A594511,BLACK,Male,6,7/30/17,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,314
A626683,GRAY TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,314
A626684,BRN TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,314
A655347,WHITE,Neutered,6,3/24/21,NORMAL,STRAY,ADOPTION,1,308
A627465,BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,ADOPTION,1,307
A627468,BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,ADOPTION,1,307
A656204,GRAY,Neutered,2,6/12/21,NORMAL,OWNER SURRENDER,ADOPTION,1,307
A659813,TORTIE DIL,Spayed,4,7/3/21,NORMAL,STRAY,ADOPTION,1,305
A664277,GRAY,Neutered,2,11/7/21,UNDER AGE/WEIGHT,RETURN,ADOPTION,1,305
A642372,WHITE,Spayed,5,5/3/20,ILL MILD,STRAY,ADOPTION,1,298
A588029,BLACK,Neutered,9,4/3/17,NORMAL,STRAY,ADOPTION,1,297
A627959,GRAY,Spayed,7,6/8/19,NORMAL,STRAY,ADOPTION,1,294
A623264,WHITE,Spayed,9,3/15/19,NORMAL,OWNER SURRENDER,ADOPTION,1,287
A654670,BLACK,Spayed,4,3/5/21,NORMAL,STRAY,ADOPTION,1,285
A504055,BRN TABBY,Neutered,10,5/18/18,NORMAL,STRAY,ADOPTION,1,284
A649515,BLACK,Spayed,3,9/30/20,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,283
A655963,BLACK,Spayed,5,4/7/21,NORMAL,OWNER SURRENDER,ADOPTION,1,283
A673663,GRAY TABBY,Neutered,3,4/1/22,NORMAL,STRAY,ADOPTION,1,280
A642890,GRAY TABBY,Neutered,9,5/24/20,NORMAL,OWNER SURRENDER,ADOPTION,1,277
A571435,WHITE,Neutered,12,5/25/20,INJURED  MODERATE,STRAY,ADOPTION,1,276
A629596,WHITE,Female,6,7/10/19,NORMAL,STRAY,ADOPTION,1,275
A629600,WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A629604,WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A629605,WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A629602,WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,275
A678133,BRN TABBY,Female,1,6/22/22,NORMAL,STRAY,ADOPTION,1,275
A628692,BLACK,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,271
A628693,BLACK,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,271
A627182,BLACK,Neutered,6,5/28/19,INJURED  SEVERE,OWNER SURRENDER,ADOPTION,1,268
A674030,GRAY,Spayed,5,5/5/22,NORMAL,OWNER SURRENDER,ADOPTION,1,268
A589699,SNOWSHOE,Spayed,11,5/4/17,NORMAL,OWNER SURRENDER,ADOPTION,1,266
A657981,CALICO,Spayed,2,5/28/21,NORMAL,STRAY,ADOPTION,1,265
A664860,GRAY TABBY,Neutered,2,10/5/21,NORMAL,STRAY,ADOPTION,1,264
A611558,BLACK,Spayed,8,7/25/18,INJURED  MILD,STRAY,ADOPTION,1,261
A655807,BLACK,Spayed,2,4/2/21,NORMAL,STRAY,ADOPTION,1,257
A681190,WHITE,Neutered,3,7/30/22,ILL MODERATETE,STRAY,ADOPTION,1,256
A609932,BLACK,Neutered,5,6/20/18,NORMAL,STRAY,ADOPTION,1,255
A608613,WHITE,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,254
A608616,BRN TABBY,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,254
A608617,BRN TABBY,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,254
A608614,BLACK,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,254
A608615,BLACK,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,254
A610413,BLACK,Spayed,5,6/29/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,254
A656116,BLACK,Neutered,3,4/10/21,NORMAL,OWNER SURRENDER,ADOPTION,1,249
A658852,BRN TABBY,Spayed,13,6/13/21,NORMAL,STRAY,ADOPTION,1,249
A595238,GRAY TABBY,Spayed,8,8/12/17,NORMAL,STRAY,ADOPTION,1,248
A628154,GRAY,Spayed,4,6/12/19,FRACTIOUS,STRAY,ADOPTION,1,248
A642922,GRAY TABBY,Spayed,4,5/21/20,NORMAL,STRAY,ADOPTION,1,247
A657058,BRN TABBY,Neutered,12,5/5/21,INJURED  MODERATE,STRAY,ADOPTION,1,244
A689251,BLACK,Spayed,2,11/22/22,NORMAL,OWNER SURRENDER,ADOPTION,1,244
A655956,BLACK,Spayed,4,4/7/21,NORMAL,STRAY,ADOPTION,1,241
A657989,BLACK,Neutered,8,5/28/21,ILL MODERATETE,STRAY,ADOPTION,1,239
A628691,BLACK,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,238
A667964,WHITE,Neutered,3,12/12/21,NORMAL,OWNER SURRENDER,ADOPTION,1,238
A634438,BLACK,Neutered,4,6/9/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,236
A678375,BLACK,Neutered,1,6/25/22,NORMAL,STRAY,ADOPTION,1,236
A671744,BRN TABBY,Spayed,9,3/15/22,NORMAL,STRAY,ADOPTION,1,232
A629629,GRAY,Spayed,4,7/10/19,NORMAL,STRAY,ADOPTION,1,231
A566417,ORG TABBY,Neutered,14,8/19/18,NORMAL,OWNER SURRENDER,ADOPTION,1,229
A629460,GRAY,Neutered,7,7/7/19,NORMAL,OWNER SURRENDER,ADOPTION,1,228
A685146,BRN TABBY,Spayed,3,9/25/22,NORMAL,STRAY,ADOPTION,1,227
A666049,BRN TABBY,Neutered,2,10/31/21,NORMAL,WELFARE SEIZED,ADOPTION,1,224
A587915,GRAY TABBY,Male,16,3/31/17,NORMAL,OWNER SURRENDER,ADOPTION,1,223
A627963,GRAY TABBY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,223
A682654,GRAY,Neutered,1,8/27/22,ILL MILD,STRAY,ADOPTION,1,220
A603980,WHITE,Neutered,15,2/21/18,NORMAL,OWNER SURRENDER,ADOPTION,1,218
A644148,BRN TABBY,Neutered,5,6/20/20,NORMAL,STRAY,ADOPTION,1,217
A676758,BLACK,Neutered,7,6/4/22,NORMAL,OWNER SURRENDER,ADOPTION,1,216
A682271,GRAY TABBY,Neutered,1,8/20/22,NORMAL,STRAY,ADOPTION,1,216
A682272,GRAY TABBY,Male,1,8/20/22,NORMAL,STRAY,ADOPTION,1,216
A682275,GRAY TABBY,Neutered,1,8/20/22,NORMAL,STRAY,ADOPTION,1,216
A682276,SEAL PT,Male,1,8/20/22,NORMAL,STRAY,ADOPTION,1,216
A627960,GRAY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,215
A598938,ORG TABBY,Neutered,10,10/18/17,NORMAL,STRAY,ADOPTION,1,213
A626423,BRN TABBY,Spayed,4,5/15/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,212
A632340,BLACK,Neutered,4,8/21/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,212
A632344,BLACK,Spayed,4,8/21/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,212
A633714,BLACK,Neutered,13,9/15/19,NORMAL,STRAY,ADOPTION,1,212
A613123,BRN TABBY,Female,6,8/18/18,NORMAL,STRAY,ADOPTION,1,210
A627421,CALICO,Spayed,15,5/31/19,NORMAL,OWNER SURRENDER,ADOPTION,1,210
A627469,BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,ADOPTION,1,210
A627961,GRAY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,210
A627964,BLACK,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,210
A628726,GRAY TABBY,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,210
A629821,BLACK,Male,4,7/12/19,NORMAL,OWNER SURRENDER,ADOPTION,1,210
A657766,WHITE,Spayed,5,5/22/21,NORMAL,OWNER SURRENDER,ADOPTION,1,207
A630469,BRN TABBY,Neutered,4,7/23/19,UNDER AGE/WEIGHT,CONFISCATE,ADOPTION,1,206
A604329,ORG TABBY,Spayed,10,3/1/18,NORMAL,STRAY,ADOPTION,1,203
A628725,GRAY,Neutered,4,6/22/19,NORMAL,STRAY,ADOPTION,1,203
A628003,WHITE,Spayed,4,6/9/19,UNDER AGE/WEIGHT,CONFISCATE,ADOPTION,1,202
A674593,WHITE,Neutered,3,5/12/22,NORMAL,OWNER SURRENDER,ADOPTION,1,202
A678376,BLACK,Neutered,1,6/25/22,NORMAL,STRAY,ADOPTION,1,202
A629392,TORTIE DIL,Spayed,4,7/6/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,201
A516535,GRAY,Spayed,16,4/6/18,ILL SEVERE,CONFISCATE,ADOPTION,1,200
A612661,ORG TABBY,Neutered,17,8/10/18,NORMAL,OWNER SURRENDER,ADOPTION,1,200
A627626,BLACK,Spayed,4,6/4/19,ILL MILD,STRAY,ADOPTION,1,200
A658053,BLACK,Neutered,5,5/29/21,ILL MILD,STRAY,ADOPTION,1,200
A628157,GRAY TABBY,Spayed,4,6/12/19,FRACTIOUS,STRAY,ADOPTION,1,199
A628162,BRN TABBY,Spayed,7,6/12/19,NORMAL,STRAY,ADOPTION,1,199
A627195,GRAY,Neutered,4,5/28/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,197
A640044,BLK SMOKE,Neutered,4,6/26/19,NORMAL,STRAY,ADOPTION,1,197
A606166,GRAY,Spayed,8,6/30/17,ILL MILD,OWNER SURRENDER,ADOPTION,1,196
A655958,BLACK,Neutered,8,4/7/21,NORMAL,STRAY,ADOPTION,1,196
A612870,BLACK,Male,5,8/15/18,FRACTIOUS,STRAY,ADOPTION,1,195
A654673,CALICO,Spayed,3,3/5/21,NORMAL,STRAY,ADOPTION,1,195
A629126,BLACK,Neutered,4,6/29/19,NORMAL,STRAY,ADOPTION,1,194
A629122,BLACK,Neutered,4,6/29/19,NORMAL,STRAY,ADOPTION,1,194
A675330,TORTIE,Spayed,2,5/20/22,FRACTIOUS,STRAY,ADOPTION,1,194
A629198,ORG TABBY,Neutered,4,7/1/19,NORMAL,STRAY,ADOPTION,1,192
A633337,BRN TABBY,Spayed,4,9/10/19,INJURED  SEVERE,STRAY,ADOPTION,1,192
A678047,BRN TABBY,Spayed,4,6/19/22,ILL MODERATETE,OWNER SURRENDER,ADOPTION,1,192
A660456,BRN TABBY,Spayed,2,7/14/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,191
A587913,GRAY,Neutered,17,3/31/17,NORMAL,OWNER SURRENDER,ADOPTION,1,189
A609353,GRAY TABBY,Neutered,5,6/8/18,NORMAL,STRAY,ADOPTION,1,188
A661313,BRN TABBY,Spayed,3,8/5/21,NORMAL,STRAY,ADOPTION,1,188
A678759,ORG TABBY,Neutered,1,7/2/22,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,188
A630036,BLACK,Spayed,4,7/17/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,185
A598818,BROWN,Female,11,10/15/17,NORMAL,STRAY,ADOPTION,1,184
A622601,BLACK,Neutered,7,2/28/19,FRACTIOUS,STRAY,ADOPTION,1,184
A628209,WHITE,Spayed,4,6/13/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,184
A628625,BLACK,Neutered,4,6/21/19,FRACTIOUS,STRAY,ADOPTION,1,184
A640794,ORG TABBY,Neutered,8,8/20/19,NORMAL,STRAY,ADOPTION,1,184
A646100,CALICO,Spayed,5,7/23/20,NORMAL,STRAY,ADOPTION,1,184
A647124,BLACK,Spayed,8,8/25/20,NORMAL,RETURN,ADOPTION,1,184
A660691,GRAY TABBY,Spayed,3,7/21/21,INJURED  MILD,STRAY,ADOPTION,1,184
A664615,ORG TABBY,Neutered,2,9/29/21,NORMAL,STRAY,ADOPTION,1,184
A590136,BLACK,Neutered,9,5/11/17,FERAL,STRAY,ADOPTION,1,183
A647738,WHITE,Spayed,10,8/26/20,ILL MODERATETE,STRAY,ADOPTION,1,183
A647745,WHITE,Neutered,8,8/26/20,ILL MODERATETE,STRAY,ADOPTION,1,183
A593523,GRAY TABBY,Neutered,6,7/14/17,NORMAL,STRAY,ADOPTION,1,182
A593522,GRAY TABBY,Neutered,6,7/14/17,NORMAL,STRAY,ADOPTION,1,182
A628696,BRN TABBY,Neutered,4,6/22/19,NORMAL,STRAY,ADOPTION,1,182
A631638,WHITE,Neutered,4,8/10/19,ILL MILD,STRAY,ADOPTION,1,182
A658567,BLACK,Neutered,2,6/9/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,182
A628695,BRN TABBY,Neutered,4,6/22/19,NORMAL,STRAY,ADOPTION,1,181
A670359,BLACK,Spayed,4,2/7/22,NORMAL,OWNER SURRENDER,ADOPTION,1,181
A652845,BROWN,Spayed,12,1/3/21,NORMAL,OWNER SURRENDER,ADOPTION,1,179
A697911,BLACK,Spayed,0,4/30/23,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,178
A632610,GRAY,Spayed,6,8/27/19,INJURED  MODERATE,STRAY,ADOPTION,1,177
A662477,BLACK,Neutered,3,8/27/21,NORMAL,WELFARE SEIZED,ADOPTION,1,177
A606375,ORG TABBY,Neutered,8,4/18/18,NORMAL,STRAY,ADOPTION,1,176
A628694,BLACK,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,176
A658861,BLACK,Spayed,2,6/14/21,NORMAL,STRAY,ADOPTION,1,176
A585546,SEAL PT,Spayed,9,2/8/17,NORMAL,OWNER SURRENDER,ADOPTION,1,175
A631963,WHITE,Neutered,4,8/14/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,175
A600036,BRN TABBY,Spayed,18,11/12/17,NORMAL,OWNER SURRENDER,ADOPTION,1,174
A657733,TORTIE,Spayed,13,5/23/21,NORMAL,OWNER SURRENDER,ADOPTION,1,174
A692993,BLACK,Neutered,5,2/4/23,ILL SEVERE,STRAY,ADOPTION,1,174
A626959,TORTIE,Spayed,4,5/24/19,NORMAL,STRAY,ADOPTION,1,173
A594903,BLACK,Neutered,6,8/6/17,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,172
A626305,BLACK,Neutered,5,5/12/19,ILL SEVERE,STRAY,ADOPTION,1,171
A648448,BRN TABBY,Spayed,5,9/7/20,NORMAL,STRAY,ADOPTION,1,171
A648449,ORG TABBY,Neutered,5,9/7/20,NORMAL,STRAY,ADOPTION,1,171
A662024,CALICO,Spayed,12,8/18/21,ILL SEVERE,STRAY,ADOPTION,1,171
A666725,CALICO,Spayed,9,11/14/21,ILL MILD,OWNER SURRENDER,ADOPTION,1,171
A543569,GRAY,Neutered,9,9/13/21,ILL MILD,STRAY,ADOPTION,1,170
A612998,BLACK,Spayed,5,8/17/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,169
A619553,PINK,Female,5,1/8/19,INJURED  SEVERE,CONFISCATE,ADOPTION,1,169
A632651,BLACK,Spayed,16,8/28/19,FRACTIOUS,OWNER SURRENDER,ADOPTION,1,168
A698202,GRAY TABBY,Neutered,5,5/5/23,NORMAL,STRAY,ADOPTION,1,168
A634298,BLACK,Spayed,4,9/27/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,167
A698526,BLACK,Neutered,0,5/11/23,NORMAL,STRAY,ADOPTION,1,167
A617609,BRN TABBY,Spayed,7,11/16/18,FRACTIOUS,STRAY,ADOPTION,1,165
A630809,BRN TABBY,Neutered,4,7/28/19,NORMAL,STRAY,ADOPTION,1,165
A652659,BRN TABBY,Neutered,4,7/28/19,NORMAL,STRAY,ADOPTION,1,165
A614731,BLACK,Spayed,6,9/15/18,NORMAL,STRAY,ADOPTION,1,164
A683729,BRN TABBY,Spayed,2,9/11/22,FRACTIOUS,STRAY,ADOPTION,1,164
A656342,BLACK,Spayed,11,6/20/20,NORMAL,STRAY,ADOPTION,1,162
A627448,BLACK,Neutered,4,6/1/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,161
A629234,BLACK,Male,4,7/2/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,161
A611659,GRAY,Spayed,9,8/29/21,NORMAL,OWNER SURRENDER,ADOPTION,1,160
A693575,ORG TABBY,Neutered,4,4/1/23,I/I REPORT,RETURN,ADOPTION,1,160
A626132,GRAY TABBY,Spayed,4,5/9/19,INJURED  SEVERE,STRAY,ADOPTION,1,159
A628329,GRAY TABBY,Spayed,4,6/15/19,FRACTIOUS,STRAY,ADOPTION,1,159
A628338,GRAY TABBY,Spayed,4,6/15/19,NORMAL,STRAY,ADOPTION,1,159
A657980,CALICO,Spayed,2,5/28/21,NORMAL,STRAY,ADOPTION,1,158
A685610,ORG TABBY,Neutered,3,10/2/22,NORMAL,OWNER SURRENDER,ADOPTION,1,157
A696532,BRN TABBY,Neutered,2,4/11/23,INJURED  SEVERE,STRAY,ADOPTION,1,157
A631951,BRN TABBY,Neutered,4,8/14/19,ILL SEVERE,STRAY,ADOPTION,1,156
A585548,BLACK,Spayed,7,2/8/17,NORMAL,OWNER SURRENDER,ADOPTION,1,155
A612365,BRN TABBY,Spayed,5,8/4/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,154
A628235,ORANGE,Neutered,4,6/13/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,154
A663840,CALICO DIL,Spayed,5,9/16/21,NORMAL,STRAY,ADOPTION,1,154
A655339,CHOC PT,Neutered,4,5/21/21,FRACTIOUS,RETURN,ADOPTION,1,153
A605851,ORG TABBY,Neutered,21,4/6/18,ILL SEVERE,CONFISCATE,ADOPTION,1,152
A616213,BLACK,Spayed,5,10/13/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,152
A618784,BRN TABBY,Neutered,7,12/13/18,NORMAL,STRAY,ADOPTION,1,152
A660257,BLACK,Neutered,2,7/11/21,NORMAL,STRAY,ADOPTION,1,151
A678760,ORG TABBY,Neutered,1,7/2/22,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,151
A675296,GRAY TABBY,Neutered,1,8/6/22,NORMAL,RETURN,ADOPTION,1,151
A631423,BRN TABBY,Spayed,4,8/7/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,150
A658395,GRAY,Spayed,2,6/6/21,NORMAL,STRAY,ADOPTION,1,150
A631134,BLACK,Spayed,4,8/2/19,NORMAL,STRAY,ADOPTION,1,149
A647827,BLACK,Unknown,3,8/27/20,NORMAL,STRAY,ADOPTION,1,149
A647790,BLACK,Neutered,3,8/27/20,NORMAL,OWNER SURRENDER,ADOPTION,1,149
A607390,SEAL PT,Spayed,7,7/18/18,NORMAL,OWNER SURRENDER,ADOPTION,1,148
A661841,BLACK,Spayed,3,8/14/21,NORMAL,OWNER SURRENDER,ADOPTION,1,148
A679122,GRAY,Spayed,1,7/7/22,ILL MILD,STRAY,ADOPTION,1,148
A648085,BRN TABBY,Neutered,8,8/29/20,INJURED  SEVERE,STRAY,ADOPTION,1,147
A671683,GRAY,Neutered,7,3/13/22,BEHAVIOR  MODERATE,OWNER SURRENDER,ADOPTION,1,147
A591115,GRAY,Neutered,13,6/1/17,NORMAL,OWNER SURRENDER,ADOPTION,1,146
A597074,BRN TABBY,Spayed,9,9/14/17,NORMAL,STRAY,ADOPTION,1,146
A611358,BRN TABBY,Spayed,5,7/20/18,FRACTIOUS,STRAY,ADOPTION,1,146
A622701,BLACK,Spayed,12,3/3/19,NORMAL,OWNER SURRENDER,ADOPTION,1,146
A626966,BRN TABBY,Neutered,4,5/24/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,146
A694233,BROWN,Spayed,1,3/5/23,ILL SEVERE,STRAY,ADOPTION,1,145
A630792,BLACK,Neutered,4,7/28/19,NORMAL,STRAY,ADOPTION,1,144
A578151,GRAY TABBY,Spayed,9,10/27/19,NORMAL,OWNER SURRENDER,ADOPTION,1,144
A658391,BLACK,Spayed,2,6/5/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,144
A667915,BLACK,Neutered,2,8/13/22,ILL MILD,OWNER SURRENDER,ADOPTION,1,144
A597198,BROWN,Neutered,6,9/16/17,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,143
A627557,GRAY TABBY,Neutered,4,6/2/19,FRACTIOUS,STRAY,ADOPTION,1,143
A629592,WHITE,Neutered,4,7/10/19,NORMAL,OWNER SURRENDER,ADOPTION,1,143
A631607,ORG TABBY,Neutered,4,8/8/19,NORMAL,STRAY,ADOPTION,1,142
A609352,GRAY TABBY,Neutered,5,6/8/18,NORMAL,STRAY,ADOPTION,1,140
A628727,GRAY,Spayed,4,6/22/19,NORMAL,STRAY,ADOPTION,1,140
A630733,BLACK,Spayed,4,7/27/19,FRACTIOUS,STRAY,ADOPTION,1,140
A631587,FLAME PT,Spayed,9,8/9/19,NORMAL,OWNER SURRENDER,ADOPTION,1,140
A597473,BLACK,Neutered,14,9/21/17,NORMAL,OWNER SURRENDER,ADOPTION,1,139
A606158,BLACK,Female,6,4/6/18,ILL SEVERE,CONFISCATE,ADOPTION,1,139
A620935,TORTIE DIL,Spayed,11,8/23/19,NORMAL,OWNER SURRENDER,ADOPTION,1,139
A665349,GRAY,Spayed,2,10/16/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,139
A675157,GRAY,Spayed,2,4/2/22,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,139
A693652,CALICO,Spayed,0,2/18/23,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,139
A592649,CALICO,Spayed,8,6/29/17,NORMAL,STRAY,ADOPTION,1,138
A633711,BRN TABBY,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,138
A658893,CALICO,Spayed,5,6/15/21,INJURED  SEVERE,STRAY,ADOPTION,1,138
A554146,GRAY,Spayed,9,3/11/17,NORMAL,OWNER SURRENDER,ADOPTION,1,137
A627962,GRAY TABBY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,137
A631700,ORANGE,Neutered,6,8/11/19,NORMAL,OWNER SURRENDER,ADOPTION,1,137
A673048,GRAY,Spayed,2,4/13/22,NORMAL,STRAY,ADOPTION,1,137
A631609,ORG TABBY,Neutered,4,8/8/19,NORMAL,STRAY,ADOPTION,1,136
A639875,GRAY TABBY,Neutered,4,8/14/19,ILL SEVERE,STRAY,ADOPTION,1,136
A631953,BRN TABBY,Spayed,4,8/14/19,ILL SEVERE,STRAY,ADOPTION,1,136
A663330,BRN TABBY,Neutered,4,9/5/21,INJURED  MODERATE,STRAY,ADOPTION,1,136
A631126,GRAY TABBY,Spayed,4,8/2/19,NORMAL,STRAY,ADOPTION,1,135
A671740,BLACK,Neutered,2,3/15/22,NORMAL,OWNER SURRENDER,ADOPTION,1,135
A629864,GRAY TABBY,Neutered,6,7/13/19,NORMAL,STRAY,ADOPTION,1,134
A457600,BLACK,Spayed,19,8/16/19,NORMAL,OWNER SURRENDER,ADOPTION,1,134
A632675,BRN TABBY,Spayed,7,8/28/19,NORMAL,STRAY,ADOPTION,1,134
A652133,WHITE,Neutered,12,12/9/20,ILL SEVERE,STRAY,ADOPTION,1,134
A665348,BLACK,Spayed,2,10/16/21,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,134
A612364,WHITE,Spayed,5,8/4/18,UNDER AGE/WEIGHT,STRAY,ADOPTION,1,133
