simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,simplified_breed,simplified_size,days_in_shelter,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded,simplified_breed_encoded,simplified_size_encoded
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,63,1,0,0,2,0,0
MIX,MALE,4,HEALTHY,STRAY,DOMESTIC BREED,SMALL,41,0,1,0,2,0,2
TABBY,FEMALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,34,2,0,0,2,0,2
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,43,1,1,2,2,0,0
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,47,2,1,2,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,66,1,0,0,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,7,2,1,0,1,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31,2,0,0,1,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,32,2,0,0,1,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,42,2,0,0,2,0,0
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,SMALL,18,2,1,2,2,0,2
TABBY,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,49,2,1,0,2,0,2
TABBY,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,64,2,1,2,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,36,2,1,0,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,2,2,1,0,1,0,0
MIX,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,59,0,1,0,2,0,2
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,57,2,1,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,39,1,0,0,2,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,69,0,0,0,2,0,0
ONE COLOR,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,35,1,0,0,1,0,0
MIX,FEMALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,110,0,0,0,2,0,2
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,23,2,1,0,1,0,2
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,50,1,0,0,2,0,2
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,89,2,1,1,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,SMALL,29,2,1,0,1,0,2
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,34,2,0,0,2,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,9,0,1,0,2,0,2
TABBY,MALE,2,HEALTHY,STRAY,DOMESTIC BREED,SMALL,94,2,1,0,2,0,2
TABBY,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,51,2,1,0,2,0,2
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,58,2,0,0,2,0,2
MIX,MALE,0,ILL,OTHER,DOMESTIC BREED,SMALL,13,0,1,1,0,0,2
MIX,FEMALE,7,ILL,OTHER,DOMESTIC BREED,SMALL,84,0,0,1,0,0,2
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,47,2,1,0,2,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,24,0,1,0,2,0,2
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,40,1,0,0,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,29,2,1,0,1,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,29,2,0,0,2,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,20,0,1,0,2,0,2
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,35,2,0,2,2,0,0
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,35,2,0,2,2,0,0
ONE COLOR,FEMALE,1,OTHER,STRAY,DOMESTIC BREED,SMALL,94,1,0,2,2,0,2
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,45,2,0,2,2,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,59,2,0,0,2,0,0
TABBY,FEMALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,25,2,0,0,1,0,0
ONE COLOR,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,79,1,0,0,2,0,0
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,36,2,0,2,2,0,0
MIX,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,81,0,0,2,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,16,2,1,0,2,0,2
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,63,2,1,1,2,0,0
MIX,FEMALE,4,HEALTHY,STRAY,OTHER,SMALL,42,0,0,0,2,1,2
ONE COLOR,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,82,1,1,0,2,0,0
MIX,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,15,0,0,0,2,0,2
TABBY,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,52,2,1,1,2,0,0
TABBY,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,15,2,1,0,2,0,0
TABBY,FEMALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,73,2,0,2,2,0,0
TABBY,FEMALE,0,HEALTHY,STRAY,DOMESTIC BREED,SMALL,45,2,0,0,2,0,2
ONE COLOR,MALE,0,OTHER,STRAY,DOMESTIC BREED,KITTN,47,1,1,2,2,0,0
MIX,MALE,0,HEALTHY,STRAY,DOMESTIC BREED,KITTN,52,0,1,0,2,0,0
MIX,MALE,1,HEALTHY,STRAY,DOMESTIC BREED,SMALL,20,0,1,0,2,0,2
ONE COLOR,FEMALE,1,HEALTHY,OTHER,DOMESTIC BREED,SMALL,48,1,0,0,0,0,2
ONE COLOR,MALE,0,ILL,STRAY,DOMESTIC BREED,KITTN,57,1,1,1,2,0,0
TABBY,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,31,2,1,0,1,0,0
MIX,MALE,0,HEALTHY,OWNER SURRENDER,DOMESTIC BREED,KITTN,20,0,1,0,1,0,0
