simplified_color,simplified_sex,intake_age,simplified_condition,simplified_type,days_stayed
WHITE,FEMALE,0,NORMAL,OWNER SURRENDER,11
BLACK,MALE,2,INJURED,STRAY,95
BLACK,FEMALE,0,NORMAL,STRAY,8
TABBY,FEMALE,2,NORMAL,STRAY,84
OTHER,FEMALE,0,NORMAL,STRAY,13
GRAY,MALE,0,UNDER WEIGHT,STRAY,6
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,91
BLACK,MALE,0,INJURED,STRAY,43
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,22
TABBY,MALE,0,UNDER WEIGHT,STRAY,51
GRAY,MALE,0,UNDER WEIGHT,STRAY,22
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,22
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,22
TABBY,MALE,0,UNDER WEIGHT,STRAY,146
BLACK,MALE,0,UNDER WEIGHT,STRAY,25
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,60
BLACK,MALE,0,UNDER WEIGHT,STRAY,61
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,75
BLACK,MALE,0,NORMAL,STRAY,24
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,13
GRAY,MALE,0,NORMAL,STRAY,34
OTHER,MALE,4,NORMAL,STRAY,25
BLACK,MALE,0,UNDER WEIGHT,STRAY,5
TABBY,MALE,0,UNDER WEIGHT,STRAY,65
TABBY,FEMALE,0,OTHER,STRAY,199
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,6
OTHER,FEMALE,0,NORMAL,STRAY,2
TABBY,MALE,0,NORMAL,OTHER,47
TABBY,FEMALE,0,NORMAL,STRAY,63
BLACK,MALE,0,NORMAL,STRAY,105
BLACK,MALE,4,NORMAL,OWNER SURRENDER,25
TABBY,MALE,0,NORMAL,STRAY,4
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,47
TABBY,MALE,0,NORMAL,STRAY,13
WHITE,FEMALE,1,NORMAL,STRAY,275
WHITE,MALE,0,UNDER WEIGHT,STRAY,275
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,275
WHITE,FEMALE,0,UNDER WEIGHT,STRAY,36
TABBY,MALE,0,UNDER WEIGHT,STRAY,21
OTHER,FEMALE,0,NORMAL,STRAY,82
TABBY,MALE,0,NORMAL,STRAY,91
BLACK,FEMALE,1,ILL SEVERE,STRAY,32
OTHER,MALE,2,NORMAL,STRAY,34
BLACK,FEMALE,0,NORMAL,STRAY,81
TABBY,MALE,0,NORMAL,STRAY,112
TABBY,MALE,0,UNDER WEIGHT,STRAY,76
TABBY,MALE,2,NORMAL,OTHER,28
TABBY,FEMALE,0,NORMAL,STRAY,135
BLACK,FEMALE,0,NORMAL,STRAY,149
TABBY,FEMALE,1,NORMAL,STRAY,20
GRAY,MALE,0,UNDER WEIGHT,STRAY,31
TABBY,FEMALE,0,OTHER,STRAY,75
WHITE,MALE,0,UNDER WEIGHT,STRAY,175
GRAY,FEMALE,0,NORMAL,STRAY,7
BLACK,MALE,0,NORMAL,STRAY,22
BLACK,FEMALE,0,NORMAL,STRAY,25
BLACK,FEMALE,0,NORMAL,STRAY,7
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,34
BLACK,MALE,0,INJURED,STRAY,18
BLACK,FEMALE,9,NORMAL,OWNER SURRENDER,102
BLACK,MALE,9,NORMAL,OWNER SURRENDER,56
TABBY,MALE,9,NORMAL,OWNER SURRENDER,56
TABBY,MALE,6,ILL MILD,STRAY,45
GRAY,MALE,6,NORMAL,OWNER SURRENDER,7
GRAY,MALE,6,ILL MILD,STRAY,170
BLACK,FEMALE,8,NORMAL,OWNER SURRENDER,131
GRAY,FEMALE,3,NORMAL,OWNER SURRENDER,137
TABBY,MALE,9,NORMAL,OWNER SURRENDER,229
WHITE,MALE,9,INJURED,STRAY,276
OTHER,FEMALE,9,NORMAL,OWNER SURRENDER,80
OTHER,MALE,1,NORMAL,STRAY,9
TABBY,FEMALE,3,NORMAL,STRAY,23
OTHER,FEMALE,0,NORMAL,STRAY,7
TABBY,FEMALE,0,NORMAL,STRAY,10
WHITE,FEMALE,2,NORMAL,OWNER SURRENDER,50
TABBY,FEMALE,0,NORMAL,STRAY,16
TABBY,FEMALE,3,NORMAL,STRAY,37
TABBY,MALE,9,NORMAL,OWNER SURRENDER,223
BLACK,MALE,0,NORMAL,STRAY,73
TABBY,FEMALE,6,NORMAL,STRAY,122
TABBY,MALE,0,OTHER,STRAY,13
OTHER,MALE,6,NORMAL,STRAY,7
OTHER,MALE,6,NORMAL,OWNER SURRENDER,16
TABBY,MALE,6,NORMAL,STRAY,36
GRAY,FEMALE,0,NORMAL,STRAY,16
OTHER,FEMALE,0,NORMAL,OWNER SURRENDER,6
TABBY,MALE,0,NORMAL,STRAY,23
OTHER,FEMALE,2,NORMAL,STRAY,138
GRAY,MALE,0,NORMAL,STRAY,17
TABBY,FEMALE,0,OTHER,STRAY,42
BLACK,MALE,7,NORMAL,STRAY,21
GRAY,MALE,9,NORMAL,OWNER SURRENDER,24
TABBY,MALE,0,NORMAL,STRAY,182
BLACK,FEMALE,0,NORMAL,STRAY,20
OTHER,FEMALE,0,NORMAL,STRAY,25
TABBY,FEMALE,0,NORMAL,STRAY,24
GRAY,FEMALE,3,NORMAL,STRAY,15
TABBY,FEMALE,3,NORMAL,STRAY,13
BLACK,MALE,2,NORMAL,STRAY,86
BLACK,FEMALE,2,NORMAL,OWNER SURRENDER,56
GRAY,FEMALE,0,NORMAL,STRAY,41
TABBY,MALE,0,NORMAL,STRAY,32
TABBY,FEMALE,0,NORMAL,STRAY,7
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,12
TABBY,MALE,0,INJURED,STRAY,116
TABBY,MALE,0,NORMAL,OWNER SURRENDER,34
OTHER,FEMALE,4,NORMAL,OTHER,128
TABBY,MALE,0,OTHER,STRAY,21
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,68
WHITE,MALE,0,UNDER WEIGHT,STRAY,19
TABBY,MALE,0,NORMAL,STRAY,7
GRAY,MALE,0,UNDER WEIGHT,STRAY,85
TABBY,MALE,0,NORMAL,STRAY,22
TABBY,MALE,3,INJURED,STRAY,103
GRAY,FEMALE,1,NORMAL,OWNER SURRENDER,126
BLACK,MALE,3,NORMAL,STRAY,37
TABBY,MALE,0,NORMAL,STRAY,31
TABBY,MALE,0,UNDER WEIGHT,STRAY,35
TABBY,FEMALE,4,NORMAL,STRAY,30
GRAY,MALE,0,NORMAL,STRAY,16
WHITE,MALE,0,NORMAL,STRAY,34
GRAY,MALE,4,NORMAL,STRAY,18
BLACK,MALE,0,NORMAL,STRAY,15
OTHER,FEMALE,2,NORMAL,OWNER SURRENDER,16
TABBY,FEMALE,4,NORMAL,STRAY,203
TABBY,MALE,3,NORMAL,OWNER SURRENDER,125
OTHER,FEMALE,3,NORMAL,STRAY,8
OTHER,FEMALE,0,NORMAL,STRAY,21
OTHER,MALE,1,NORMAL,STRAY,38
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,123
BLACK,MALE,0,UNDER WEIGHT,STRAY,31
WHITE,FEMALE,1,NORMAL,STRAY,27
TABBY,MALE,0,NORMAL,STRAY,59
TABBY,FEMALE,0,NORMAL,STRAY,102
BLACK,MALE,0,NORMAL,STRAY,45
GRAY,FEMALE,9,NORMAL,OWNER SURRENDER,62
TABBY,FEMALE,0,NORMAL,OTHER,30
OTHER,FEMALE,0,NORMAL,OTHER,30
GRAY,FEMALE,7,NORMAL,OWNER SURRENDER,160
OTHER,MALE,0,NORMAL,STRAY,14
WHITE,MALE,7,NORMAL,OWNER SURRENDER,1
WHITE,FEMALE,7,NORMAL,OWNER SURRENDER,1
TABBY,MALE,0,UNDER WEIGHT,STRAY,20
OTHER,FEMALE,0,NORMAL,STRAY,12
TABBY,MALE,4,NORMAL,STRAY,61
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,169
BLACK,MALE,0,UNDER WEIGHT,STRAY,67
TABBY,FEMALE,0,NORMAL,STRAY,91
TABBY,MALE,0,UNDER WEIGHT,STRAY,72
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,14
BLACK,MALE,0,NORMAL,STRAY,81
WHITE,MALE,0,NORMAL,STRAY,4
BLACK,MALE,0,NORMAL,OWNER SURRENDER,91
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,76
BLACK,MALE,0,NORMAL,STRAY,39
GRAY,FEMALE,0,INJURED,STRAY,53
OTHER,FEMALE,3,NORMAL,STRAY,71
OTHER,FEMALE,1,NORMAL,STRAY,75
TABBY,FEMALE,0,NORMAL,STRAY,27
BLACK,FEMALE,8,NORMAL,OWNER SURRENDER,71
TABBY,MALE,4,NORMAL,OWNER SURRENDER,65
OTHER,FEMALE,0,NORMAL,STRAY,40
OTHER,FEMALE,0,NORMAL,STRAY,40
OTHER,FEMALE,1,NORMAL,OWNER SURRENDER,60
TABBY,FEMALE,0,NORMAL,STRAY,76
OTHER,FEMALE,0,NORMAL,STRAY,54
TABBY,MALE,0,OTHER,STRAY,42
TABBY,MALE,3,NORMAL,STRAY,152
TABBY,FEMALE,0,NORMAL,STRAY,6
GRAY,FEMALE,0,NORMAL,STRAY,41
TABBY,MALE,0,OTHER,STRAY,30
BLACK,FEMALE,2,NORMAL,OTHER,23
OTHER,FEMALE,4,NORMAL,STRAY,38
OTHER,FEMALE,0,NORMAL,STRAY,77
TABBY,FEMALE,8,NORMAL,OWNER SURRENDER,16
WHITE,MALE,0,NORMAL,STRAY,10
OTHER,FEMALE,1,NORMAL,STRAY,9
TABBY,FEMALE,1,INJURED,STRAY,38
OTHER,MALE,6,NORMAL,OWNER SURRENDER,29
TABBY,FEMALE,0,NORMAL,STRAY,21
OTHER,FEMALE,0,NORMAL,OWNER SURRENDER,11
OTHER,FEMALE,2,NORMAL,STRAY,6
OTHER,FEMALE,0,NORMAL,STRAY,29
TABBY,FEMALE,0,INJURED,STRAY,159
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,1
OTHER,FEMALE,0,ILL MILD,STRAY,21
BLACK,MALE,1,NORMAL,STRAY,108
TABBY,FEMALE,2,NORMAL,STRAY,70
BLACK,MALE,0,UNDER WEIGHT,STRAY,63
BLACK,FEMALE,0,OTHER,STRAY,32
BLACK,MALE,0,NORMAL,STRAY,7
OTHER,FEMALE,0,OTHER,STRAY,54
OTHER,FEMALE,0,OTHER,STRAY,98
BLACK,MALE,0,OTHER,STRAY,105
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,29
BLACK,MALE,0,UNDER WEIGHT,STRAY,161
OTHER,MALE,0,UNDER WEIGHT,STRAY,15
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,20
BLACK,MALE,0,UNDER WEIGHT,STRAY,8
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,8
TABBY,MALE,0,UNDER WEIGHT,STRAY,223
WHITE,MALE,0,NORMAL,STRAY,3
TABBY,MALE,0,NORMAL,STRAY,3
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,21
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,6
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,9
BLACK,MALE,0,NORMAL,STRAY,3
TABBY,FEMALE,0,NORMAL,STRAY,18
GRAY,MALE,0,NORMAL,STRAY,70
GRAY,FEMALE,0,NORMAL,STRAY,70
BLACK,MALE,0,NORMAL,STRAY,112
BLACK,FEMALE,4,NORMAL,STRAY,12
TABBY,MALE,0,NORMAL,STRAY,69
TABBY,MALE,0,NORMAL,STRAY,42
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,62
TABBY,MALE,0,UNDER WEIGHT,STRAY,30
GRAY,MALE,2,NORMAL,OWNER SURRENDER,228
TABBY,MALE,0,NORMAL,STRAY,21
OTHER,FEMALE,0,NORMAL,STRAY,13
TABBY,FEMALE,0,NORMAL,STRAY,49
BLACK,MALE,0,INJURED,STRAY,46
TABBY,FEMALE,0,NORMAL,STRAY,120
GRAY,FEMALE,0,NORMAL,STRAY,24
GRAY,MALE,1,NORMAL,OWNER SURRENDER,17
GRAY,MALE,0,ILL MILD,STRAY,41
BLACK,FEMALE,0,NORMAL,OWNER SURRENDER,14
TABBY,MALE,0,NORMAL,STRAY,12
WHITE,MALE,0,UNDER WEIGHT,STRAY,36
BLACK,MALE,1,NORMAL,OWNER SURRENDER,116
TABBY,FEMALE,0,NORMAL,STRAY,16
GRAY,FEMALE,1,INJURED,STRAY,177
TABBY,FEMALE,0,NORMAL,STRAY,15
TABBY,MALE,0,NORMAL,STRAY,72
TABBY,FEMALE,0,OTHER,STRAY,21
TABBY,FEMALE,0,NORMAL,STRAY,4
OTHER,MALE,0,UNDER WEIGHT,STRAY,90
TABBY,MALE,1,NORMAL,STRAY,70
TABBY,FEMALE,2,NORMAL,STRAY,107
TABBY,FEMALE,0,NORMAL,STRAY,84
TABBY,FEMALE,0,OTHER,STRAY,41
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,167
BLACK,MALE,0,UNDER WEIGHT,STRAY,65
BLACK,MALE,0,UNDER WEIGHT,STRAY,4
TABBY,MALE,0,NORMAL,OWNER SURRENDER,72
BLACK,MALE,0,UNDER WEIGHT,STRAY,83
OTHER,FEMALE,0,NORMAL,STRAY,65
OTHER,MALE,0,UNDER WEIGHT,STRAY,13
TABBY,MALE,0,NORMAL,STRAY,96
TABBY,FEMALE,0,NORMAL,STRAY,35
OTHER,MALE,0,NORMAL,STRAY,14
BLACK,MALE,0,NORMAL,STRAY,21
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,29
GRAY,MALE,0,INJURED,STRAY,21
TABBY,FEMALE,0,NORMAL,OWNER SURRENDER,17
BLACK,MALE,2,NORMAL,OTHER,3
BLACK,MALE,1,ILL MILD,STRAY,56
TABBY,MALE,4,NORMAL,OWNER SURRENDER,36
BLACK,FEMALE,0,NORMAL,STRAY,12
BLACK,FEMALE,0,NORMAL,OWNER SURRENDER,2
WHITE,FEMALE,2,ILL MILD,STRAY,298
TABBY,FEMALE,2,NORMAL,OWNER SURRENDER,64
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,111
OTHER,FEMALE,5,NORMAL,OTHER,85
TABBY,MALE,0,NORMAL,STRAY,12
OTHER,MALE,0,ILL MILD,STRAY,21
TABBY,FEMALE,0,NORMAL,STRAY,6
TABBY,MALE,0,UNDER WEIGHT,STRAY,36
TABBY,FEMALE,0,NORMAL,STRAY,25
TABBY,FEMALE,3,NORMAL,OWNER SURRENDER,82
OTHER,MALE,3,NORMAL,OWNER SURRENDER,13
BLACK,MALE,2,ILL MILD,STRAY,13
TABBY,FEMALE,0,NORMAL,OWNER SURRENDER,17
TABBY,MALE,3,NORMAL,OWNER SURRENDER,83
OTHER,MALE,0,INJURED,STRAY,17
BLACK,FEMALE,3,NORMAL,OWNER SURRENDER,14
TABBY,MALE,0,NORMAL,STRAY,5
TABBY,MALE,0,NORMAL,STRAY,21
TABBY,MALE,0,NORMAL,STRAY,15
BLACK,MALE,0,NORMAL,STRAY,103
TABBY,FEMALE,0,OTHER,OWNER SURRENDER,3
BLACK,FEMALE,2,OTHER,STRAY,23
TABBY,FEMALE,0,NORMAL,STRAY,86
BLACK,MALE,0,NORMAL,STRAY,25
BLACK,MALE,0,ILL MILD,STRAY,9
TABBY,FEMALE,0,NORMAL,STRAY,7
BLACK,FEMALE,4,NORMAL,STRAY,16
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,55
OTHER,FEMALE,1,NORMAL,STRAY,15
TABBY,MALE,0,UNDER WEIGHT,STRAY,46
OTHER,FEMALE,1,NORMAL,STRAY,6
BLACK,FEMALE,0,NORMAL,OTHER,25
OTHER,FEMALE,0,ILL SEVERE,STRAY,27
OTHER,MALE,0,NORMAL,STRAY,1
TABBY,MALE,0,NORMAL,STRAY,16
TABBY,MALE,0,NORMAL,STRAY,7
OTHER,FEMALE,0,NORMAL,STRAY,11
WHITE,FEMALE,0,NORMAL,STRAY,21
GRAY,MALE,0,NORMAL,STRAY,4
OTHER,FEMALE,0,NORMAL,STRAY,66
OTHER,FEMALE,1,NORMAL,STRAY,65
WHITE,FEMALE,2,NORMAL,OWNER SURRENDER,20
TABBY,MALE,6,NORMAL,STRAY,4
TABBY,MALE,0,NORMAL,STRAY,65
WHITE,FEMALE,0,NORMAL,STRAY,7
WHITE,MALE,0,NORMAL,STRAY,7
OTHER,MALE,1,ILL MILD,STRAY,19
OTHER,MALE,6,NORMAL,OTHER,61
BLACK,MALE,5,OTHER,STRAY,24
GRAY,FEMALE,4,NORMAL,OWNER SURRENDER,16
OTHER,FEMALE,0,INJURED,STRAY,26
WHITE,FEMALE,1,NORMAL,STRAY,13
GRAY,MALE,4,INJURED,STRAY,15
BLACK,FEMALE,0,NORMAL,STRAY,11
BLACK,MALE,3,NORMAL,OWNER SURRENDER,2
BLACK,FEMALE,1,NORMAL,STRAY,285
OTHER,FEMALE,0,NORMAL,STRAY,195
BLACK,MALE,9,ILL SEVERE,STRAY,12
GRAY,MALE,2,NORMAL,OWNER SURRENDER,6
GRAY,FEMALE,0,NORMAL,STRAY,6
OTHER,MALE,1,NORMAL,OTHER,3
BLACK,FEMALE,0,NORMAL,STRAY,257
OTHER,MALE,2,ILL MILD,STRAY,10
BLACK,MALE,2,NORMAL,STRAY,44
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,84
BLACK,MALE,0,NORMAL,STRAY,4
TABBY,MALE,0,UNDER WEIGHT,STRAY,90
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,100
BLACK,MALE,0,UNDER WEIGHT,STRAY,98
BLACK,FEMALE,0,OTHER,STRAY,15
BLACK,MALE,2,NORMAL,STRAY,7
TABBY,MALE,9,INJURED,STRAY,244
TABBY,MALE,0,NORMAL,STRAY,6
WHITE,FEMALE,3,NORMAL,OWNER SURRENDER,207
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,82
TABBY,MALE,0,ILL MILD,STRAY,7
BLACK,MALE,0,NORMAL,STRAY,8
TABBY,MALE,0,NORMAL,STRAY,48
BLACK,MALE,3,NORMAL,OTHER,91
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,144
TABBY,MALE,0,NORMAL,STRAY,64
TABBY,MALE,0,NORMAL,STRAY,9
BLACK,MALE,0,UNDER WEIGHT,STRAY,182
OTHER,MALE,2,NORMAL,OWNER SURRENDER,53
OTHER,FEMALE,0,NORMAL,STRAY,24
BLACK,FEMALE,0,NORMAL,STRAY,176
TABBY,MALE,0,UNDER WEIGHT,STRAY,39
BLACK,MALE,0,NORMAL,STRAY,81
BLACK,FEMALE,0,ILL MILD,STRAY,57
GRAY,MALE,0,INJURED,STRAY,22
BLACK,MALE,0,NORMAL,STRAY,128
TABBY,MALE,0,NORMAL,STRAY,73
TABBY,MALE,0,NORMAL,STRAY,24
BLACK,FEMALE,1,NORMAL,OWNER SURRENDER,148
OTHER,MALE,0,NORMAL,STRAY,33
TABBY,MALE,2,NORMAL,STRAY,48
OTHER,MALE,0,ILL MILD,STRAY,38
OTHER,FEMALE,0,UNDER WEIGHT,STRAY,19
GRAY,FEMALE,0,NORMAL,STRAY,121
TABBY,MALE,2,NORMAL,STRAY,103
BLACK,MALE,0,NORMAL,STRAY,9
OTHER,FEMALE,0,NORMAL,STRAY,4
TABBY,MALE,0,INJURED,STRAY,28
GRAY,FEMALE,0,NORMAL,STRAY,69
TABBY,FEMALE,0,NORMAL,STRAY,15
BLACK,MALE,4,NORMAL,STRAY,55
BLACK,FEMALE,0,NORMAL,STRAY,16
GRAY,MALE,0,OTHER,OWNER SURRENDER,85
GRAY,MALE,0,NORMAL,STRAY,68
BLACK,FEMALE,6,NORMAL,OWNER SURRENDER,52
WHITE,FEMALE,7,OTHER,STRAY,92
WHITE,MALE,2,OTHER,STRAY,42
BLACK,MALE,0,ILL MILD,STRAY,64
GRAY,FEMALE,0,UNDER WEIGHT,STRAY,1
TABBY,MALE,0,NORMAL,STRAY,0
OTHER,MALE,0,NORMAL,STRAY,117
BLACK,MALE,0,NORMAL,STRAY,13
GRAY,FEMALE,8,NORMAL,OWNER SURRENDER,21
GRAY,FEMALE,0,NORMAL,OWNER SURRENDER,6
GRAY,MALE,0,NORMAL,OWNER SURRENDER,97
TABBY,FEMALE,1,NORMAL,OWNER SURRENDER,43
OTHER,FEMALE,0,NORMAL,OWNER SURRENDER,3
TABBY,FEMALE,3,NORMAL,OTHER,14
BLACK,MALE,2,NORMAL,STRAY,41
GRAY,FEMALE,0,UNDER WEIGHT,STRAY,48
TABBY,MALE,3,NORMAL,STRAY,37
OTHER,FEMALE,3,OTHER,OTHER,14
OTHER,MALE,1,NORMAL,OWNER SURRENDER,9
TABBY,MALE,0,NORMAL,STRAY,8
BLACK,MALE,0,NORMAL,STRAY,44
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,104
BLACK,FEMALE,0,UNDER WEIGHT,STRAY,21
OTHER,FEMALE,1,NORMAL,STRAY,54
GRAY,FEMALE,4,NORMAL,OWNER SURRENDER,268
