intake_age,days_in_shelter,simplified_color_one_color,simplified_color_tabby,simplified_sex_male,simplified_condition_ill,simplified_condition_other,simplified_type_owner_surrender,simplified_type_stray,simplified_breed_other,simplified_size_other,simplified_size_small
0,16,1,0,1,0,0,0,1,0,0,0
0,51,1,0,1,0,1,0,1,0,0,0
0,57,0,1,0,0,0,0,1,0,0,0
0,35,0,1,0,0,0,0,1,0,0,0
0,62,1,0,0,0,0,0,1,0,0,0
0,56,0,1,1,0,0,0,1,0,0,0
0,91,0,1,0,0,1,0,1,0,0,0
0,20,0,0,0,0,0,1,0,1,0,0
0,21,0,1,1,0,0,0,1,0,0,1
0,29,0,0,1,0,0,0,1,0,0,1
0,3,0,1,1,0,0,0,1,0,0,0
0,39,0,1,1,0,1,0,1,0,0,0
0,25,1,0,0,0,0,1,0,0,0,0
1,27,1,0,0,0,0,0,1,0,0,1
0,90,1,0,0,0,0,0,1,0,0,0
0,90,1,0,1,0,0,0,1,0,0,0
0,23,1,0,0,0,0,1,0,0,0,1
0,34,0,0,1,0,0,0,1,0,0,0
1,28,0,1,1,1,0,0,1,0,1,0
0,37,1,0,1,0,0,1,0,0,0,0
1,66,0,0,0,0,0,0,1,0,0,1
0,15,0,1,0,0,0,0,1,0,0,0
0,35,0,1,1,0,0,1,0,0,0,0
0,64,0,1,1,0,0,0,0,0,0,1
0,67,0,1,1,0,1,0,1,0,0,0
0,38,1,0,0,0,0,1,0,0,0,0
0,38,0,1,0,0,0,1,0,0,0,0
0,30,0,0,1,0,0,0,1,0,0,1
0,26,1,0,0,0,0,0,1,0,0,0
0,46,0,0,0,0,1,0,1,0,0,0
0,46,0,1,1,0,1,0,1,0,0,0
0,27,0,0,1,0,0,0,1,1,0,1
2,47,0,0,0,0,1,0,1,0,0,1
0,40,0,1,1,0,0,1,0,0,0,0
0,80,1,0,0,0,1,0,1,0,0,0
0,57,1,0,0,0,0,0,1,0,0,1
0,30,0,1,1,0,0,1,0,0,0,0
0,86,0,1,1,0,1,0,1,0,0,0
0,32,0,1,1,0,0,0,1,0,0,1
0,43,0,1,0,0,0,1,0,0,0,0
0,52,0,1,0,0,0,1,0,1,0,1
0,50,0,1,1,0,1,0,1,0,0,0
0,45,0,1,0,0,0,1,0,0,0,0
0,59,1,0,0,0,0,0,1,0,0,0
0,59,1,0,1,0,0,0,1,0,0,0
0,31,1,0,0,0,0,0,1,0,0,1
0,48,1,0,0,0,0,1,0,0,0,0
0,28,0,1,1,0,0,0,1,0,0,0
0,53,0,1,1,0,1,0,1,0,0,0
0,77,0,1,0,0,1,0,1,0,0,0
0,24,0,1,1,0,0,0,1,0,0,1
2,10,0,0,0,0,0,0,0,0,0,1
0,43,0,0,0,0,1,0,1,0,0,1
0,52,0,1,0,0,0,1,0,0,0,1
0,74,0,1,0,0,0,0,1,0,0,0
0,56,0,1,0,0,0,1,0,0,0,1
0,47,0,1,1,0,1,0,1,0,0,0
4,17,0,0,1,1,0,0,1,0,0,1
1,35,1,0,0,0,0,0,1,0,0,1
0,16,0,0,0,0,0,1,0,0,0,0
0,29,0,0,1,0,0,0,1,0,0,0
0,8,0,1,1,0,0,0,1,0,0,0
0,56,1,0,0,1,0,0,1,0,0,0
0,4,0,1,0,0,0,0,1,0,0,0
1,12,0,1,0,0,0,0,1,0,0,1
0,28,1,0,0,0,0,0,0,0,0,0
4,71,0,0,1,0,1,0,0,0,0,1
0,15,0,0,0,0,0,0,1,0,0,0
0,24,0,0,0,0,0,0,1,0,0,0
0,22,0,0,1,0,0,0,1,0,0,0
4,46,0,0,1,0,0,0,1,0,1,0
2,58,0,1,0,1,0,0,1,0,0,1
0,19,0,1,1,0,0,0,1,0,0,1
1,63,0,0,0,1,0,0,1,0,0,1
0,31,1,0,1,0,0,0,1,0,0,1
0,62,0,1,1,1,0,0,1,0,0,0
1,17,1,0,1,0,0,0,1,0,0,1
0,46,0,1,0,0,0,1,0,0,0,0
0,25,0,1,1,1,0,0,1,0,0,0
1,20,0,0,1,0,0,0,1,1,0,1
0,78,0,1,1,1,0,0,0,0,0,0
0,18,0,0,1,0,0,0,1,0,0,1
0,17,1,0,0,1,0,0,1,0,0,0
0,14,1,0,0,0,0,1,0,0,0,0
0,9,0,1,0,0,0,0,1,0,0,0
9,18,0,0,1,1,0,0,1,0,0,1
1,33,0,1,0,0,0,0,1,0,0,1
0,14,0,1,0,0,0,1,0,0,0,0
0,10,0,0,1,0,1,1,0,0,0,1
0,11,0,1,0,0,0,0,1,0,0,1
0,3,0,1,1,0,0,1,0,0,0,1
0,64,1,0,1,1,0,0,1,0,0,0
0,32,0,0,0,1,0,0,1,0,0,0
0,41,0,1,1,0,0,0,1,0,0,0
0,11,0,0,0,0,0,0,1,0,0,1
0,60,0,0,1,1,0,0,1,0,0,0
0,9,1,0,0,0,0,1,0,0,0,0
0,25,0,1,1,0,0,0,1,0,0,0
0,66,0,1,1,1,0,0,1,0,0,0
0,32,0,0,0,0,0,0,1,0,0,0
0,18,0,0,0,0,0,0,1,0,0,0
0,96,0,1,1,1,0,0,1,0,0,0
1,64,0,1,0,1,0,0,1,0,0,1
0,41,0,1,1,0,1,0,1,0,0,1
0,57,0,1,0,1,0,0,1,0,0,0
0,30,0,1,0,0,0,1,0,0,0,0
4,16,0,1,1,0,0,0,1,0,0,1
0,14,0,1,1,0,0,1,0,0,0,0
0,40,0,0,1,0,0,0,1,0,0,0
0,8,1,0,1,0,0,0,1,0,1,0
0,15,0,1,0,0,0,0,1,0,0,0
0,68,1,0,0,1,0,0,1,0,0,0
0,37,1,0,1,0,0,0,1,0,1,0
0,64,0,1,1,1,0,0,1,0,0,0
0,24,0,0,1,0,0,0,1,0,0,0
0,82,1,0,0,0,0,0,1,0,0,0
10,12,0,1,1,1,0,1,0,0,0,1
1,12,0,0,1,0,0,0,1,0,0,1
0,36,1,0,1,0,0,0,1,0,0,0
0,57,1,0,1,0,0,1,0,0,0,0
0,17,0,0,1,0,0,0,1,1,0,0
0,11,0,0,0,0,0,0,1,1,0,1
0,9,0,0,1,0,0,0,1,0,0,0
9,16,0,0,1,1,0,1,0,0,0,1
3,43,1,0,0,0,1,0,1,0,0,1
1,47,0,1,0,0,0,0,0,0,0,1
0,36,0,1,0,0,0,0,1,0,0,0
0,14,0,0,0,0,0,0,1,0,0,0
0,6,1,0,1,0,1,1,0,0,0,0
0,2,0,0,1,0,0,0,0,0,0,0
0,49,1,0,0,0,0,0,1,0,0,0
0,49,0,0,1,1,0,0,1,1,0,0
0,22,1,0,1,0,0,1,0,0,0,0
0,52,0,1,1,1,0,0,0,0,0,0
0,21,1,0,0,0,0,1,0,0,0,1
0,64,0,1,0,1,0,0,1,0,0,0
0,30,1,0,0,0,0,0,1,0,0,1
0,53,0,1,0,1,0,0,1,0,0,0
0,9,0,1,0,0,0,0,1,0,0,0
0,4,1,0,0,0,0,1,0,0,0,0
0,16,0,1,0,0,0,0,1,0,0,0
0,3,0,1,0,0,0,1,0,0,0,0
7,21,0,0,0,0,0,0,0,0,0,1
0,5,1,0,1,0,0,1,0,0,0,0
0,11,0,0,1,0,0,0,1,0,0,1
0,43,0,1,1,1,0,0,1,0,0,0
0,28,0,0,1,0,0,0,1,0,0,0
5,91,0,0,0,0,0,1,0,0,0,1
2,24,1,0,1,0,0,0,1,0,0,1
0,9,0,0,1,0,0,1,0,0,0,0
2,5,0,0,1,0,0,0,0,0,0,1
0,19,0,1,0,0,1,0,1,0,0,1
0,22,0,1,0,0,0,1,0,0,0,0
0,21,0,0,0,0,0,0,1,0,0,1
0,3,1,0,0,0,0,1,0,0,0,1
0,55,0,1,1,1,0,0,0,0,0,0
10,36,1,0,0,0,0,1,0,0,0,1
1,32,0,1,1,0,0,1,0,0,0,1
0,2,0,1,0,0,0,0,1,0,0,0
0,46,0,1,1,1,0,0,1,0,0,0
0,14,0,0,0,0,0,0,1,0,0,0
0,79,1,0,1,1,0,0,0,0,0,1
0,13,0,1,1,0,0,0,1,0,0,0
0,12,0,1,1,0,0,0,1,0,0,1
4,13,0,0,1,0,0,0,0,0,0,1
0,12,0,1,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0
0,23,0,1,0,0,0,0,1,0,0,0
3,15,1,0,1,0,0,0,1,0,0,1
0,9,0,0,1,0,0,1,0,0,0,0
0,2,1,0,1,0,0,1,0,0,0,0
0,9,1,0,0,0,0,1,0,0,0,0
0,22,0,0,1,1,0,1,0,0,0,0
0,23,0,1,1,0,0,0,1,0,0,0
0,34,1,0,0,1,0,0,0,0,0,1
0,5,0,1,0,0,0,1,0,0,0,0
0,61,0,1,1,1,0,0,1,0,0,0
0,108,0,0,1,1,0,0,1,0,0,0
0,4,1,0,1,0,0,1,0,0,0,0
0,28,0,1,1,0,0,0,1,0,0,0
4,28,0,0,1,1,0,1,0,0,1,0
0,78,1,0,1,0,0,0,1,0,0,0
8,14,1,0,0,1,0,1,0,0,0,1
0,56,0,1,1,1,0,0,1,0,0,0
0,55,0,1,0,0,0,0,1,0,0,1
0,10,0,1,0,0,0,0,1,0,0,0
0,35,1,0,0,1,0,1,0,0,0,0
0,29,0,0,0,0,0,1,0,0,0,1
0,14,0,0,0,0,1,1,0,1,0,0
0,8,1,0,0,0,0,1,0,0,0,1
0,10,0,1,0,0,0,0,0,0,0,1
0,49,0,0,1,1,0,0,1,0,0,0
0,29,0,0,1,0,0,0,1,0,0,0
0,14,0,1,0,0,0,0,1,0,0,0
0,7,1,0,0,0,0,0,1,0,0,0
0,27,0,1,1,0,0,0,1,0,0,1
0,22,0,1,0,0,0,1,0,0,0,0
0,31,0,1,1,1,0,0,1,0,0,0
3,31,0,0,1,0,0,0,1,0,0,1
0,52,1,0,0,0,1,0,1,0,0,0
0,34,0,0,1,1,0,0,1,1,0,0
0,26,0,0,1,1,0,0,1,0,0,0
0,17,0,1,0,0,1,0,1,0,0,0
0,28,0,1,0,0,1,0,0,0,0,0
3,42,0,0,1,0,0,0,0,1,0,1
0,33,1,0,1,1,0,0,1,0,0,0
0,17,0,1,0,0,1,0,1,0,0,1
0,18,0,0,1,0,0,0,1,0,0,0
0,17,0,1,0,0,0,0,1,0,0,1
0,15,0,0,1,0,0,1,0,0,0,0
0,51,0,0,1,0,1,0,1,0,0,0
0,16,0,0,0,0,0,0,1,1,0,1
0,13,0,1,0,0,0,0,1,0,0,0
0,3,0,1,1,0,0,0,1,0,0,0
0,11,1,0,1,0,0,1,0,0,0,0
0,34,0,0,1,0,0,0,0,0,0,1
1,26,0,0,1,0,0,0,1,0,0,1
0,20,0,1,1,0,0,0,1,0,0,1
0,15,0,1,0,0,0,0,1,0,0,0
4,49,0,1,1,1,0,0,1,0,0,1
0,35,1,0,0,0,0,0,1,0,0,0
0,35,0,1,1,0,0,0,1,0,0,0
0,62,0,1,0,1,0,0,1,0,0,0
0,18,0,1,1,0,0,0,1,0,0,1
7,38,0,1,0,0,1,1,0,0,0,1
0,7,0,0,1,0,0,0,1,0,0,0
0,70,0,1,0,1,0,0,1,0,0,1
4,23,0,1,1,0,0,0,1,0,0,1
0,39,0,1,0,1,0,0,1,0,0,0
1,20,1,0,1,0,0,0,1,0,0,1
0,11,0,1,1,0,0,1,0,0,0,0
0,10,0,1,0,0,0,0,1,0,0,1
0,18,0,0,0,0,0,0,1,0,0,1
0,21,0,1,1,1,0,0,1,0,0,1
0,20,0,1,0,0,0,0,1,0,0,0
0,3,0,1,0,0,0,1,0,0,0,0
0,59,0,1,0,0,1,0,1,0,0,0
0,38,0,0,0,1,0,1,0,0,0,0
1,25,0,1,1,0,0,0,1,0,0,1
0,3,0,0,0,0,0,0,0,0,0,0
0,12,0,1,0,0,0,0,1,0,0,0
0,12,1,0,1,0,0,1,0,0,0,1
0,55,1,0,0,1,0,0,1,0,0,0
0,6,0,1,0,0,0,0,0,0,0,0
0,53,0,1,0,1,0,0,1,0,0,0
0,20,0,0,0,1,0,1,0,1,0,0
0,6,0,1,0,0,1,0,1,0,0,0
0,35,0,1,1,0,0,0,1,0,0,0
0,2,0,1,1,0,0,0,0,0,0,0
0,42,0,1,1,1,0,0,1,0,0,0
0,11,0,0,1,0,1,0,1,0,0,0
1,85,0,0,0,0,0,0,1,0,0,1
2,69,0,1,0,1,0,0,1,0,0,1
0,76,0,1,1,1,0,0,1,0,0,0
0,36,0,0,1,0,0,0,0,0,0,0
0,30,0,1,0,0,0,0,1,0,0,0
0,15,0,1,0,0,0,1,0,0,0,0
0,8,0,1,0,0,0,0,1,0,0,0
0,38,0,1,1,0,0,0,1,0,0,0
0,49,0,1,0,0,1,0,1,0,0,0
0,25,1,0,0,1,0,0,1,0,0,0
0,33,1,0,1,0,0,0,1,0,0,1
2,13,1,0,0,0,0,0,1,0,0,1
0,35,0,1,0,1,0,0,1,0,0,0
0,9,0,0,0,0,0,0,1,0,0,0
0,47,0,0,0,1,0,1,0,1,0,0
0,42,1,0,0,0,0,0,1,0,0,1
0,13,0,1,0,0,0,1,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,1
0,12,0,0,1,0,0,0,1,0,0,0
0,35,0,1,1,1,0,0,1,0,0,1
0,16,1,0,0,0,0,0,1,0,0,0
0,21,1,0,0,1,0,0,1,0,0,0
8,15,0,1,0,0,0,1,0,0,0,1
8,33,0,1,0,0,0,1,0,0,0,1
0,47,0,1,0,0,0,1,0,0,0,0
0,63,0,1,0,1,0,0,1,0,0,0
0,8,1,0,1,0,0,1,0,0,0,0
2,17,1,0,1,0,0,0,1,0,0,1
0,68,0,1,0,0,0,0,0,0,0,0
0,15,1,0,0,0,0,0,1,0,0,1
0,8,0,0,1,0,1,0,1,0,0,1
0,14,0,1,0,0,0,1,0,0,0,0
3,24,0,1,1,1,0,0,1,0,0,1
8,23,0,0,1,0,0,1,0,1,0,1
0,69,1,0,0,0,0,0,1,0,0,0
2,43,1,0,0,0,0,0,1,0,0,1
5,7,1,0,0,0,0,1,0,0,0,1
0,31,0,0,1,1,0,1,0,0,0,0
1,38,1,0,1,0,0,0,1,0,1,0
0,24,0,0,0,1,0,0,1,1,0,0
0,77,0,1,0,0,0,0,1,0,0,0
0,7,0,1,1,0,0,0,1,0,0,0
0,25,1,0,0,0,0,0,1,0,0,0
0,23,0,1,1,0,0,0,1,0,0,1
0,10,0,0,1,0,0,0,1,0,0,0
1,39,1,0,0,0,0,1,0,0,0,1
0,12,0,1,1,0,0,0,1,0,0,0
2,20,1,0,0,1,0,1,0,0,0,1
0,20,0,0,0,0,0,1,0,0,0,0
0,36,0,0,0,1,0,1,0,1,0,0
0,28,0,1,1,1,0,0,1,0,0,0
0,14,0,0,0,0,0,0,1,1,0,1
0,64,0,1,0,0,1,0,1,0,0,0
0,15,0,1,1,0,0,1,0,0,0,0
0,15,0,0,1,0,1,1,0,1,0,0
3,40,1,0,0,0,0,1,0,0,0,1
0,27,0,1,1,0,0,0,1,0,0,0
0,39,0,1,0,1,0,1,0,0,0,0
0,34,0,1,1,1,0,0,1,0,0,1
2,67,0,1,1,0,1,0,1,0,0,1
0,6,0,0,0,0,0,1,0,0,0,0
0,5,0,1,1,0,0,1,0,0,0,1
1,14,0,1,0,0,0,1,0,0,0,1
0,44,0,1,0,1,0,0,1,0,0,0
0,8,0,1,0,0,0,0,1,0,0,1
0,28,0,1,0,1,0,0,1,0,0,0
0,46,0,0,1,0,1,0,1,0,0,0
0,13,1,0,0,0,0,0,1,0,0,1
3,11,1,0,1,0,0,0,1,0,0,1
0,9,0,0,1,0,0,0,1,0,0,0
1,44,0,1,0,0,0,0,1,0,0,1
0,20,0,1,0,0,0,1,0,0,0,0
1,29,0,1,0,1,0,0,1,0,0,1
0,39,1,0,0,0,0,0,1,0,0,0
0,7,1,0,0,0,0,0,1,0,0,0
4,71,0,0,0,1,0,0,1,0,0,1
0,28,0,1,0,0,1,0,1,0,0,1
0,10,0,0,1,0,0,0,0,0,0,0
0,7,0,0,0,0,0,0,1,0,0,0
0,17,0,0,0,0,0,1,0,0,0,1
0,4,0,0,1,0,0,1,0,0,0,0
0,43,0,1,0,1,0,0,1,0,0,1
2,41,0,0,1,0,0,1,0,0,1,0
0,35,0,0,1,0,0,1,0,0,0,0
8,77,1,0,0,0,0,1,0,0,0,1
0,60,1,0,1,1,0,0,1,0,0,0
0,5,0,1,1,0,0,1,0,0,0,0
3,11,1,0,1,0,0,1,0,0,0,1
0,5,0,1,0,0,0,1,0,0,0,0
0,20,0,0,1,0,0,0,1,1,0,0
0,11,0,1,1,0,0,0,1,0,0,1
0,15,1,0,0,0,0,1,0,0,0,0
0,53,0,1,0,1,0,0,1,0,0,0
1,23,0,0,0,0,0,0,1,0,0,1
0,22,0,1,1,0,0,0,1,0,0,0
0,28,1,0,1,0,0,0,1,0,0,0
0,62,0,1,0,0,0,0,1,0,0,0
0,44,0,1,0,1,0,0,1,0,0,0
0,2,0,1,0,0,0,1,0,0,0,0
0,71,0,0,1,1,0,0,1,0,0,0
6,9,1,0,1,0,0,1,0,0,1,0
0,9,0,1,1,0,1,1,0,0,0,0
6,32,1,0,1,0,0,1,0,0,0,1
0,26,0,0,0,1,0,1,0,0,0,0
0,10,0,0,0,0,0,0,1,0,0,1
2,63,0,1,1,0,0,1,0,0,0,1
0,8,0,0,1,0,0,0,1,0,0,0
0,14,0,0,0,0,0,0,1,0,0,0
1,7,0,0,0,0,0,1,0,1,0,1
0,28,0,0,0,0,0,0,1,0,0,1
0,12,0,0,1,0,0,0,1,0,0,1
0,72,1,0,0,1,0,0,1,0,0,0
2,107,1,0,0,0,0,0,1,0,0,1
0,17,0,1,1,0,0,0,1,0,0,0
0,70,0,0,1,1,0,0,1,0,0,0
0,11,0,1,1,0,0,1,0,0,0,0
0,13,0,1,0,0,0,1,0,0,0,0
4,27,0,1,0,0,0,1,0,0,0,1
0,6,0,1,1,0,0,0,1,0,0,0
0,25,0,0,1,0,0,1,0,0,0,1
0,27,0,0,0,0,0,1,0,0,0,0
0,35,0,1,0,1,0,0,1,0,0,0
1,30,0,0,1,0,0,0,1,0,0,1
0,44,0,1,0,1,0,0,1,0,0,0
0,36,0,1,1,0,0,1,0,0,0,0
1,23,1,0,1,1,0,0,1,0,0,1
0,31,0,1,1,0,0,0,1,0,0,0
0,30,0,1,1,0,0,0,1,0,0,1
0,15,0,1,1,0,0,1,0,0,0,0
0,67,1,0,0,1,0,0,1,0,0,0
0,7,0,0,1,0,0,0,1,0,0,1
0,65,0,0,1,1,0,0,1,0,0,0
0,69,0,0,1,1,0,0,1,0,0,0
0,60,0,0,1,1,0,0,1,0,0,1
1,16,0,1,1,0,0,0,1,0,0,1
0,14,1,0,0,0,1,0,1,0,0,0
0,38,0,1,1,1,0,0,1,0,0,0
0,9,0,1,0,0,0,1,0,0,0,0
0,86,0,0,1,1,0,0,1,0,0,1
0,21,0,1,1,0,1,0,1,0,0,1
0,9,0,1,0,0,0,0,1,0,0,1
0,9,0,1,0,0,0,1,0,0,0,0
5,11,0,0,0,0,1,1,0,0,0,1
9,17,0,1,0,0,0,1,0,0,0,1
8,25,1,0,1,0,0,0,0,0,0,1
0,44,0,1,0,0,0,1,0,0,0,0
0,39,0,1,1,0,0,0,1,0,0,0
0,13,0,1,0,0,0,0,1,0,0,0
0,7,1,0,1,0,0,0,1,0,0,0
0,23,0,1,0,0,0,1,0,0,0,0
0,8,0,1,1,0,0,1,0,0,0,0
0,27,0,1,1,1,0,1,0,0,0,0
1,13,0,1,1,0,0,1,0,0,0,1
7,53,0,0,1,1,0,1,0,0,1,0
0,6,1,0,0,0,0,1,0,0,0,0
9,13,0,1,1,0,0,1,0,0,0,1
0,6,0,1,1,1,0,0,1,0,0,0
0,14,0,1,0,0,0,1,0,0,0,0
0,7,0,1,0,0,0,0,1,0,0,0
0,54,1,0,0,0,0,0,1,0,0,0
0,30,0,1,0,0,0,0,1,0,0,1
0,7,0,1,1,0,0,1,0,0,0,0
0,7,0,0,1,0,1,0,1,0,0,1
3,68,1,0,1,0,0,0,0,0,0,1
0,54,0,0,0,1,0,0,1,0,0,0
5,31,0,1,0,0,0,1,0,0,0,1
0,3,0,1,0,0,0,0,1,0,0,0
0,8,1,0,1,0,0,0,1,0,0,0
0,28,0,1,0,0,0,0,0,0,0,0
1,14,0,1,1,0,0,1,0,0,0,1
0,11,0,1,0,0,0,0,1,0,0,0
0,46,0,1,0,1,0,0,1,0,0,0
