intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length,intake_type_encoded,intake_condition_encoded,sex_intake_encoded,breed_encoded,CoatColor_encoded,CoatPattern_encoded
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,67,2,3,0,1,8,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,4,37,1,3,0,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,96,29,1,3,0,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,3,1,3,0,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,2,3,2,3,1,1,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,55,2,3,0,1,2,2
Stray,Normal,Female,Other,Brown,Tabby,3,7,2,3,0,2,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,120,41,2,3,1,1,5,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,36,26,1,3,0,1,2,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,25,1,3,0,1,2,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,22,2,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,9,2,3,1,1,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,19,2,3,1,1,5,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,3,13,1,3,1,1,2,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,5,1,3,0,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,24,2,3,1,1,3,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,101,1,3,0,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,55,2,3,1,1,3,2
Stray,Normal,Female,Other,White_Mix,Solid,1,4,2,3,0,2,9,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,6,4,2,3,1,1,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,10,2,3,0,1,3,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,2,10,2,3,0,1,7,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,45,2,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Tabby,1,58,2,3,1,1,0,2
Owner_Surrender,Normal,Male,Other,Black_N_White,Solid,3,9,1,3,1,2,1,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,12,7,2,3,0,1,3,2
Owner_Surrender,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,5,3,1,3,0,2,8,1
Stray,Normal,Male,Other,Orange,Tabby,1,34,2,3,1,2,5,2
Stray,Injured,Female,Other,Black_N_White,Solid,36,128,2,1,0,2,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,6,2,3,1,1,3,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,120,148,1,3,1,1,1,1
Stray,Normal,Male,Other,Black,Solid,36,26,2,3,1,2,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,7,2,3,1,1,0,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,12,49,1,3,0,1,2,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,71,2,3,1,1,1,1
Stray,Normal,Male,Other,Black,Other,1,4,2,3,1,2,0,0
Stray,Normal,Female,Other,Other,Other,1,32,2,3,0,2,6,0
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,13,2,3,1,1,0,1
Stray,Normal,Female,Other,Orange,Tabby,1,8,2,3,0,2,5,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,5,63,2,3,1,1,6,2
Stray,Normal,Male,Other,Other,Tabby,1,15,2,3,1,2,6,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,5,5,1,3,0,1,5,2
Stray,Normal,Female,Other,Brown,Tabby,2,4,2,3,0,2,3,2
Stray,Normal,Male,Domestic_Shorthair,Black,Solid,12,129,2,3,1,0,0,1
Stray,Normal,Female,Other,Torbie_or_Torbie_mix,Solid,12,5,2,3,0,2,7,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,11,2,3,1,1,3,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,28,1,3,0,1,2,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,96,2,3,1,1,1,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,14,2,3,1,1,2,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,92,2,3,1,1,2,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,15,2,3,1,1,3,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,36,2,3,1,1,1,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,24,1,3,1,1,2,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,7,2,3,1,1,3,2
Stray,Normal,Male,Other,Other,Tabby,2,10,2,3,1,2,6,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,7,8,2,3,0,1,6,2
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,24,59,2,3,1,1,5,2
Stray,Nursing,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,12,12,2,4,0,1,1,1
Stray,Normal,Male,Other,White_Mix,Solid,2,12,2,3,1,2,9,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,3,5,1,3,1,1,0,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,42,2,3,1,1,5,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,98,1,3,0,1,0,1
Owner_Surrender,Normal,Male,Other,Brown,Tabby,3,9,1,3,1,2,3,2
Stray,Normal,Male,Other,Orange,Tabby,96,38,2,3,1,2,5,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,7,0,1,3,1,1,3,2
