intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,7
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,35
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,32
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,36,39
Owner_Surrender,Normal,Female,Other,Tortie_or_Tortie_mix,Other,2,0
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,140
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,3,4
Stray,Sick,Male,Domestic_Shorthair_Mix,Black,Solid,1,45
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,2,44
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,60,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,8
Owner_Surrender,Normal,Male,Other,Brown,Tabby,2,3
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,57
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,75
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,1,37
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,8,14
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Tabby,1,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,47
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,24,9
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,79
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,9,19
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Tabby,1,28
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Other,4,4
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,168,17
Stray,Injured,Female,Other,White_Mix,Solid,36,4
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,12,13
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,62
Stray,Normal,Female,Other,Other,Tabby,1,22
Stray,Normal,Female,Other,Calico_or_Calico_mix,Solid,1,53
Stray,Normal,Male,Other,White_Mix,Solid,2,4
Stray,Normal,Male,Domestic_Shorthair,Brown,Tabby,4,4
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,0,34
Owner_Surrender,Normal,Male,Domestic_Shorthair,White_Mix,Solid,12,15
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Other,1,100
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,1,28
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,1,44
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,67
Stray,Injured,Male,Domestic_Shorthair_Mix,Orange,Tabby,24,12
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,1,52
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Tabby,1,6
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,3,21
Owner_Surrender,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,24,21
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,12,46
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,12,86
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,120,55
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,24,84
Owner_Surrender,Injured,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,3,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,25
Stray,Sick,Female,Domestic_Shorthair_Mix,Black,Solid,1,101
Stray,Normal,Male,Other,Orange,Tabby,36,7
Stray,Injured,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,1,4
Stray,Normal,Male,Other,Orange,Tabby,1,47
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,48,9
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,96,90
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,0,67
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,0,75
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,0,93
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,17
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,12,44
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,3,26
Stray,Normal,Male,Other,Black,Solid,1,37
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,3,9
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,10,68
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,0,62
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,11
Owner_Surrender,Normal,Male,Other,Orange,Tabby,1,65
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,7,7
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,63
Owner_Surrender,Normal,Male,Other,Other,Other,24,1
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,0,107
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,4
Owner_Surrender,Normal,Female,Domestic_Shorthair,Brown,Tabby,8,39
Stray,Normal,Male,Other,Black_N_White,Solid,72,33
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,24,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,84,67
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,79
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Other,1,63
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Other,0,63
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,0,73
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,36,142
Owner_Surrender,Normal,Male,Other,Brown,Tabby,1,24
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,0,52
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,1,59
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Tabby,12,2
Stray,Normal,Female,Other,Orange,Tabby,8,29
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,39
Stray,Normal,Female,Other,Black_N_White,Solid,1,24
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Solid,0,116
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,0,83
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,4,3
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,66
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,102
Stray,Normal,Male,Other,Other,Other,24,26
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,12,22
Stray,Normal,Male,Other,Orange,Tabby,1,65
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,5,67
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,80
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,2,4
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,60,39
Owner_Surrender,Normal,Female,Other,Black_N_White,Solid,180,21
Other,Normal,Male,Other,White_Mix,Tabby,12,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,2,16
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,3,15
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,10,3
Stray,Normal,Male,Other,Other,Tabby,1,91
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,17
Stray,Normal,Male,Other,Orange,Tabby,5,12
Owner_Surrender,Normal,Male,Domestic_Shorthair,Orange,Tabby,2,8
Stray,Normal,Male,Other,Orange,Tabby,2,21
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,12,7
Stray,Normal,Female,Other,Calico_or_Calico_mix,Solid,1,20
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,48,19
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,50
Stray,Normal,Male,Other,Other,Tabby,36,32
Stray,Nursing,Male,Domestic_Shorthair_Mix,Brown,Tabby,0,51
Stray,Injured,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,19
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,0,73
Owner_Surrender,Normal,Male,Other,Black,Solid,12,23
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Other,Solid,12,13
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,7
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,1,43
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,96,47
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,12,4
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,47
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,48,12
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,37
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,12,68
Owner_Surrender,Normal,Female,Other,Black_N_White,Solid,120,20
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,2,3
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,12,34
Stray,Injured,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,7,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,0,55
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,36,53
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,6,6
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,0,81
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,76
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,12,65
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,67
Owner_Surrender,Injured,Female,Other,Blue,Tabby,6,2
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,24,8
Stray,Normal,Male,Other,Blue,Tabby,24,4
Stray,Normal,Female,Other,Black,Solid,1,39
Stray,Nursing,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,7,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,4,11
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Tabby,144,83
Stray,Injured,Male,Other,Black,Solid,2,8
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,14
Other,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,24,77
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Tabby,2,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Solid,1,59
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,2,5
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,4,7
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Tabby,1,25
Owner_Surrender,Injured,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,2,4
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,73
Stray,Sick,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,0,59
Stray,Injured,Male,Domestic_Shorthair_Mix,Orange,Tabby,12,12
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,5,19
Stray,Injured,Female,Domestic_Shorthair_Mix,Brown,Tabby,132,58
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,2,13
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,2,7
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,93
Owner_Surrender,Normal,Male,Other,Blue,Solid,156,7
Stray,Normal,Female,Other,Black,Solid,1,29
Stray,Normal,Male,Other,Orange,Tabby,2,7
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,0,92
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,1,31
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,68
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,1,9
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,12,111
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,0,81
Stray,Normal,Male,Other,Other,Tabby,10,6
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,10,6
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,8,36
Stray,Normal,Female,Other,Black_N_White,Solid,1,49
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,6
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,10,43
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,12,54
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Tabby,1,42
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,53
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Tabby,1,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,9,7
Stray,Normal,Male,Domestic_Shorthair,Brown,Tabby,2,15
Stray,Injured,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,4,28
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Solid,132,23
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,48,19
Other,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,12,102
Stray,Normal,Female,Other,Blue,Other,1,4
Stray,Nursing,Female,Domestic_Shorthair_Mix,Brown,Tabby,0,115
Stray,Normal,Male,Other,Other,Other,4,29
Owner_Surrender,Normal,Female,Other,Blue,Other,60,20
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,11
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Tabby,3,15
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,7,1
Stray,Sick,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,3,13
Stray,Normal,Male,Other,Blue,Tabby,1,38
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Other,5,5
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,4,52
Stray,Sick,Male,Other,Blue,Tabby,1,49
Stray,Nursing,Female,Other,Brown,Tabby,1,38
Owner_Surrender,Normal,Female,Other,Blue,Tabby,24,2
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Other,Solid,96,20
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,96,58
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,79
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,5,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,54
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,2,4
Stray,Nursing,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,0,64
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,146
Stray,Normal,Female,Other,Black_N_White,Solid,36,43
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,4,46
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Solid,108,14
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,72,21
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,3,3
Stray,Normal,Male,Other,Other,Other,3,4
Stray,Sick,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,43
Stray,Normal,Female,Other,Brown,Tabby,1,60
Stray,Normal,Female,Other,Black,Other,2,26
Stray,Normal,Female,Other,Orange,Tabby,1,51
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,11
Other,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,36,9
Stray,Injured,Male,Other,Black,Solid,2,91
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,4,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,27
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,3
Stray,Injured,Female,Domestic_Shorthair_Mix,Black,Solid,9,33
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,1,116
Stray,Normal,Male,Other,Orange,Tabby,1,113
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,156,48
Owner_Surrender,Normal,Female,Other,Black,Solid,1,34
Owner_Surrender,Normal,Male,Domestic_Shorthair,Black,Solid,36,1
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,48,85
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,4,6
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,2,4
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,84,39
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,12,94
Stray,Normal,Female,Other,Other,Other,36,0
Owner_Surrender,Normal,Female,Other,Brown,Tabby,1,4
Stray,Normal,Male,Domestic_Shorthair,Black,Solid,96,61
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,4,20
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,0,95
Stray,Normal,Male,Other,Black_N_White,Solid,8,9
Stray,Normal,Male,Other,Blue,Solid,1,58
Stray,Normal,Female,Other,Blue,Solid,1,29
Owner_Surrender,Normal,Male,Other,Black,Solid,1,45
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,15
Stray,Normal,Male,Other,Black_N_White,Solid,2,4
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,101
Stray,Injured,Male,Other,Brown,Tabby,36,21
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Other,72,13
Stray,Nursing,Male,Domestic_Shorthair_Mix,Blue,Solid,0,97
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,2,11
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,12
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,20
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,19
Owner_Surrender,Normal,Female,Other,Brown,Tabby,6,10
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,84,79
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,96,28
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,61
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,7,7
Stray,Normal,Female,Other,Other,Other,24,37
Stray,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,2,53
Stray,Injured,Male,Domestic_Shorthair_Mix,Orange,Tabby,12,27
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,2
Owner_Surrender,Normal,Male,Other,White_Mix,Tabby,60,60
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,96,75
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,12,8
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,36,32
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,12,79
Owner_Surrender,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,96,2
Owner_Surrender,Normal,Male,Other,Other,Other,120,5
Stray,Normal,Male,Other,Other,Other,2,8
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,96,71
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,1
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,6,42
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Other,12,84
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,0,54
Stray,Injured,Male,Domestic_Shorthair_Mix,Orange,Tabby,24,19
Stray,Sick,Male,Other,Other,Other,2,80
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,25
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,84,23
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,12,7
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,3,9
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,4,33
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,12,127
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Tabby,6,46
Stray,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,1,84
Stray,Normal,Female,Other,Brown,Tabby,48,16
Stray,Normal,Female,Other,Torbie_or_Torbie_mix,Solid,1,9
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,6,12
Stray,Sick,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,38
Stray,Normal,Male,Other,Other,Other,24,15
Stray,Normal,Female,Other,Brown,Tabby,1,4
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,5,3
Stray,Normal,Female,Other,Blue,Solid,12,9
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,2
Owner_Surrender,Normal,Female,Domestic_Shorthair,Blue,Tabby,12,18
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,96,32
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,52
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,4,11
Other,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,2,6
Owner_Surrender,Normal,Female,Other,Orange,Tabby,12,3
Owner_Surrender,Normal,Female,Other,Blue,Tabby,2,7
Stray,Normal,Female,Domestic_Shorthair,Orange,Tabby,10,9
Stray,Normal,Male,Other,Other,Other,4,25
Stray,Nursing,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,0,64
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,5,2
Stray,Normal,Female,Domestic_Shorthair_Mix,Tortie_or_Tortie_mix,Solid,0,78
Stray,Injured,Male,Domestic_Shorthair_Mix,Blue,Solid,24,7
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,15
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Solid,36,16
Stray,Injured,Female,Domestic_Shorthair_Mix,Black,Solid,2,14
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,4,9
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,8
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,22
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,0,101
Owner_Surrender,Normal,Male,Other,Other,Other,24,4
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,24,22
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,4,11
Stray,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,9
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,1,21
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,60,6
Owner_Surrender,Normal,Male,Other,Black_N_White,Solid,156,13
Stray,Normal,Male,Other,Black_N_White,Solid,1,49
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,5,16
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,0,76
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,24,50
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,6
Stray,Injured,Male,Other,Black,Solid,1,47
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,1,100
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,72,109
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,0,79
Stray,Normal,Female,Other,Other,Solid,1,91
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,12,6
Owner_Surrender,Normal,Female,Domestic_Shorthair,Brown,Tabby,5,10
Owner_Surrender,Normal,Male,Other,Brown,Tabby,60,26
Owner_Surrender,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,2
Owner_Surrender,Normal,Female,Other,Calico_or_Calico_mix,Other,2,2
Owner_Surrender,Normal,Female,Other,White_Mix,Solid,36,34
Stray,Normal,Male,Other,Blue,Tabby,1,105
Stray,Normal,Male,Domestic_Shorthair,Brown,Tabby,1,8
Stray,Sick,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,99
Owner_Surrender,Normal,Male,Other,Black_N_White,Solid,3,1
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,1,22
Owner_Surrender,Normal,Male,Other,Other,Other,1,2
Stray,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,64
Stray,Sick,Male,Domestic_Shorthair_Mix,White_Mix,Solid,1,53
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,12,73
Stray,Injured,Male,Domestic_Shorthair_Mix,Brown,Tabby,7,5
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,24,22
Stray,Normal,Female,Domestic_Shorthair_Mix,White_Mix,Tabby,12,63
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,0,47
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Tabby,1,7
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Solid,1,74
Stray,Sick,Female,Domestic_Shorthair_Mix,Black,Solid,12,4
Stray,Normal,Male,Other,Orange,Tabby,1,45
Stray,Normal,Female,Other,Black_N_White,Solid,3,22
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,12,75
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,84,45
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,24,6
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,144,10
