intake_type,intake_condition,sex_intake,breed,CoatColor,CoatPattern,age_intake_months,stay_length
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,10
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,2,10
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,45
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Tabby,1,58
Owner_Surrender,Normal,Male,Other,Black_N_White,Solid,3,9
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,12,7
Owner_Surrender,Normal,Female,Other,Tortie_or_Tortie_mix,Solid,5,3
Stray,Normal,Male,Other,Orange,Tabby,1,34
Stray,Injured,Female,Other,Black_N_White,Solid,36,128
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,3,6
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,120,148
Stray,Normal,Male,Other,Black,Solid,36,26
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,7
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Tabby,12,49
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,71
Stray,Normal,Male,Other,Black,Other,1,4
Stray,Normal,Female,Other,Other,Other,1,32
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,13
Stray,Normal,Female,Other,Orange,Tabby,1,8
Stray,Normal,Male,Domestic_Shorthair_Mix,Other,Tabby,5,63
Stray,Normal,Male,Other,Other,Tabby,1,15
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,5,5
Stray,Normal,Female,Other,Brown,Tabby,2,4
Stray,Normal,Male,Domestic_Shorthair,Black,Solid,12,129
Stray,Normal,Female,Other,Torbie_or_Torbie_mix,Solid,12,5
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,11
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Blue,Solid,1,28
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,96
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,14
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,92
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,15
Stray,Normal,Male,Domestic_Shorthair_Mix,Black_N_White,Solid,1,36
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,24
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,12,7
Stray,Normal,Male,Other,Other,Tabby,2,10
Stray,Normal,Female,Domestic_Shorthair_Mix,Other,Tabby,7,8
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,24,59
Stray,Nursing,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,12,12
Stray,Normal,Male,Other,White_Mix,Solid,2,12
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,3,5
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,42
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,2,98
Owner_Surrender,Normal,Male,Other,Brown,Tabby,3,9
Stray,Normal,Male,Other,Orange,Tabby,96,38
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,7,0
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,36,48
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,36,42
Stray,Normal,Male,Other,Black_N_White,Solid,24,17
Stray,Normal,Female,Other,Blue,Solid,36,34
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,42
Stray,Normal,Female,Domestic_Shorthair_Mix,Torbie_or_Torbie_mix,Solid,5,3
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,49
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,3,48
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,4,7
Stray,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,1,55
Stray,Normal,Male,Other,Other,Other,2,5
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Solid,1,22
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,5,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,52
Owner_Surrender,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,12,81
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,23
Stray,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,1,4
Stray,Normal,Male,Other,Other,Other,1,36
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,24,23
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,2,5
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,12,32
Owner_Surrender,Sick,Male,Domestic_Shorthair_Mix,Blue,Tabby,1,38
Stray,Normal,Female,Domestic_Shorthair_Mix,Black_N_White,Solid,1,29
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Solid,1,65
Stray,Normal,Female,Domestic_Shorthair_Mix,Calico_or_Calico_mix,Solid,1,42
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,14
Stray,Normal,Male,Other,Black,Solid,12,4
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,4,11
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,84,70
Stray,Normal,Female,Domestic_Shorthair_Mix,Brown,Tabby,1,37
Stray,Normal,Female,Domestic_Shorthair_Mix,Black,Other,1,134
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Orange,Tabby,3,9
Owner_Surrender,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,1,33
Stray,Normal,Female,Domestic_Shorthair_Mix,Orange,Tabby,1,59
Stray,Normal,Female,Other,Other,Other,1,36
Stray,Normal,Female,Other,Black_N_White,Solid,3,58
Stray,Normal,Male,Domestic_Shorthair_Mix,White_Mix,Tabby,2,9
Stray,Normal,Male,Domestic_Shorthair_Mix,Brown,Tabby,2,13
Stray,Normal,Male,Domestic_Shorthair_Mix,Black,Solid,1,75
