simplified_color,simplified_sex,age,simplified_condition,simplified_type,days_stayed,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded
TABBY,FEMALE,4,NORMAL,STRAY,8,3,0,3,2
BLACK,MALE,2,NORMAL,STRAY,60,0,1,3,2
GRAY,MALE,7,OTHER,OWNER SURRENDER,147,1,1,4,1
TABBY,FEMALE,9,NORMAL,STRAY,232,3,0,3,2
BLACK,FEMALE,2,NORMAL,STRAY,10,0,0,3,2
BLACK,FEMALE,2,NORMAL,STRAY,11,0,0,3,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,127,0,1,5,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,96,0,1,5,2
TABBY,MALE,2,ILL MILD,STRAY,21,3,1,0,2
BLACK,FEMALE,3,NORMAL,OWNER SURRENDER,14,0,0,3,1
GRAY,FEMALE,2,NORMAL,STRAY,137,1,0,3,2
OTHER,FEMALE,1,NORMAL,STRAY,52,2,0,3,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,38,3,0,5,2
GRAY,MALE,1,UNDER WEIGHT,STRAY,51,1,1,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,49,2,0,5,2
BLACK,MALE,1,NORMAL,STRAY,46,0,1,3,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,61,2,0,5,2
BLACK,MALE,3,NORMAL,OWNER SURRENDER,122,0,1,3,1
OTHER,FEMALE,8,NORMAL,OWNER SURRENDER,3,2,0,3,1
GRAY,MALE,1,ILL MILD,STRAY,2,1,1,0,2
GRAY,FEMALE,3,OTHER,OWNER SURRENDER,98,1,0,4,1
BLACK,MALE,3,INJURED,STRAY,104,0,1,2,2
GRAY,MALE,1,NORMAL,OWNER SURRENDER,27,1,1,3,1
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,2,1,0,5,2
WHITE,FEMALE,1,UNDER WEIGHT,STRAY,7,4,0,5,2
BLACK,FEMALE,1,UNDER WEIGHT,STRAY,20,0,0,5,2
OTHER,FEMALE,9,NORMAL,OWNER SURRENDER,30,2,0,3,1
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,36,2,0,3,1
OTHER,FEMALE,3,NORMAL,OWNER SURRENDER,41,2,0,3,1
GRAY,FEMALE,1,NORMAL,STRAY,20,1,0,3,2
GRAY,FEMALE,1,NORMAL,STRAY,62,1,0,3,2
BLACK,MALE,2,NORMAL,OWNER SURRENDER,22,0,1,3,1
OTHER,FEMALE,2,OTHER,STRAY,194,2,0,4,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,1,0,1,5,2
TABBY,MALE,1,NORMAL,STRAY,14,3,1,3,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,10,3,0,5,2
TABBY,FEMALE,4,NORMAL,STRAY,18,3,0,3,2
OTHER,FEMALE,3,INJURED,STRAY,11,2,0,2,2
WHITE,MALE,1,NORMAL,STRAY,6,4,1,3,2
OTHER,FEMALE,1,NORMAL,STRAY,1,2,0,3,2
BLACK,MALE,2,ILL MILD,STRAY,77,0,1,0,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,17,2,0,5,2
TABBY,MALE,1,NORMAL,STRAY,1,3,1,3,2
BLACK,FEMALE,1,NORMAL,STRAY,26,0,0,3,2
