intake_age,days_stayed,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_male,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_owner_surrender,simplified_type_stray
2,69,0,1,0,0,1,0,1,0,0,0,1
4,31,0,0,0,0,1,0,1,0,0,0,1
4,114,0,0,0,0,1,0,0,1,0,0,1
0,72,1,0,0,0,1,0,1,0,0,0,1
5,57,0,0,0,0,0,0,1,0,0,1,0
0,11,0,0,0,1,0,0,1,0,0,1,0
2,95,0,0,0,0,1,1,0,0,0,0,1
0,8,0,0,0,0,0,0,1,0,0,0,1
2,84,0,0,1,0,0,0,1,0,0,0,1
0,13,0,1,0,0,0,0,1,0,0,0,1
0,6,1,0,0,0,1,0,0,0,1,0,1
0,91,0,0,1,0,0,0,0,0,1,0,1
0,43,0,0,0,0,1,1,0,0,0,0,1
0,22,0,1,0,0,0,0,0,0,1,0,1
0,51,0,0,1,0,1,0,0,0,1,0,1
0,22,1,0,0,0,1,0,0,0,1,0,1
0,22,0,1,0,0,0,0,0,0,1,0,1
0,22,0,1,0,0,0,0,0,0,1,0,1
0,146,0,0,1,0,1,0,0,0,1,0,1
0,25,0,0,0,0,1,0,0,0,1,0,1
0,60,0,0,0,0,0,0,0,0,1,0,1
0,61,0,0,0,0,1,0,0,0,1,0,1
0,75,0,0,0,0,0,0,0,0,1,0,1
0,24,0,0,0,0,1,0,1,0,0,0,1
0,13,0,0,0,1,0,0,0,0,1,0,1
0,34,1,0,0,0,1,0,1,0,0,0,1
4,25,0,1,0,0,1,0,1,0,0,0,1
0,5,0,0,0,0,1,0,0,0,1,0,1
0,65,0,0,1,0,1,0,0,0,1,0,1
0,6,0,1,0,0,0,0,0,0,1,0,1
0,2,0,1,0,0,0,0,1,0,0,0,1
0,47,0,0,1,0,1,0,1,0,0,0,0
0,63,0,0,1,0,0,0,1,0,0,0,1
0,105,0,0,0,0,1,0,1,0,0,0,1
4,25,0,0,0,0,1,0,1,0,0,1,0
0,4,0,0,1,0,1,0,1,0,0,0,1
0,47,0,1,0,0,0,0,0,0,1,0,1
0,13,0,0,1,0,1,0,1,0,0,0,1
0,36,0,0,0,1,0,0,0,0,1,0,1
0,21,0,0,1,0,1,0,0,0,1,0,1
0,82,0,1,0,0,0,0,1,0,0,0,1
0,91,0,0,1,0,1,0,1,0,0,0,1
1,32,0,0,0,0,0,0,0,0,0,0,1
2,34,0,1,0,0,1,0,1,0,0,0,1
0,81,0,0,0,0,0,0,1,0,0,0,1
0,112,0,0,1,0,1,0,1,0,0,0,1
0,76,0,0,1,0,1,0,0,0,1,0,1
2,28,0,0,1,0,1,0,1,0,0,0,0
0,135,0,0,1,0,0,0,1,0,0,0,1
0,149,0,0,0,0,0,0,1,0,0,0,1
1,20,0,0,1,0,0,0,1,0,0,0,1
