age,days_stayed,simplified_color_black,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_female,simplified_sex_male,simplified_condition_ill_mild,simplified_condition_ill_severe,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_other,simplified_type_owner_surrender,simplified_type_stray
5,125,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
9,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
5,89,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
9,36,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
10,9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,57,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6,17,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
8,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10,71,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
10,72,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5,195,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
5,6,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
5,11,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5,16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,56,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
5,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
5,38,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,21,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
5,47,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,57,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
5,41,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
5,10,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
